pdb_id_1,pdb_id_2,mhc_relation,binder_matches_json,overall_containment_direction,binder_count,ligand_descriptor_count,ligand_signature_sha256_16,group_1,group_2,same_assigned_group
1T20,5NMH,exact,[],exact,0,1,a02b6b3c7587c96d,RED00079,RED00079,yes
1T21,1T22,exact,[],exact,0,1,d3f8ffdece88d79d,RED00093,RED00093,yes
1T21,2V2W,exact,[],exact,0,1,d3f8ffdece88d79d,RED00093,RED00093,yes
1T22,2V2W,exact,[],exact,0,1,d3f8ffdece88d79d,RED00093,RED00093,yes
1X7Q,7WKJ,exact,[],exact,0,1,bf39e6253878c7b3,RED00045,RED00045,yes
1YDP,6AEE,exact,[],exact,0,1,1b242f31164cf9f1,RED00824,RED00824,yes
2DYP,6K60,exact,[],exact,0,1,1b242f31164cf9f1,RED00876,RED00876,yes
28IL,8RJ5,exact,"[{""left_index"":0,""right_index"":0,""left_length"":245,""right_length"":245,""relation"":""exact"",""start_in_longer_0based"":0},{""left_index"":1,""right_index"":1,""left_length"":204,""right_length"":204,""relation"":""exact"",""start_in_longer_0based"":0}]",exact,2,1,9d3d908d2565cd3b,RED00724,RED00724,yes
7F4W,8YZZ,exact,[],exact,0,1,9d3d908d2565cd3b,RED00265,RED00265,yes
2CIK,2H6P,exact,[],exact,0,1,b0601b02a67d8635,RED00176,RED00176,yes
2GUO,3QFD,exact,[],exact,0,1,889b8bb371187468,RED00139,RED00139,yes
2X4P,2X4Q,exact,[],exact,0,1,b8358ad13d9d04dd,RED00281,RED00281,yes
2X4R,3GSO,exact,[],exact,0,1,2d84765f278a5e51,RED00098,RED00098,yes
3BGM,4NNX,exact,[],exact,0,1,cdb3d3cfb19e3aac,RED00096,RED00096,yes
3CDG,3CII,left_in_right,"[{""left_index"":0,""right_index"":0,""left_length"":116,""right_length"":116,""relation"":""exact"",""start_in_longer_0based"":0},{""left_index"":1,""right_index"":1,""left_length"":123,""right_length"":121,""relation"":""right_in_left"",""start_in_longer_0based"":2}]",mixed_component_directions,2,1,d11a15f329b8684f,RED00925,RED00925,yes
3D25,3FT3,exact,[],exact,0,1,f811b12d14c67945,RED00015,RED00015,yes
3MRP,3MRQ,exact,[],exact,0,1,73e8121235fda960,RED00418,RED00418,yes
3NFN,3QZW,exact,[],exact,0,1,dc83a1bd3988c048,RED00324,RED00324,yes
3NFN,3VXN,exact,[],exact,0,1,dc83a1bd3988c048,RED00324,RED00324,yes
3NFN,5HGH,exact,[],exact,0,1,dc83a1bd3988c048,RED00324,RED00324,yes
3QZW,3VXN,exact,[],exact,0,1,dc83a1bd3988c048,RED00324,RED00324,yes
3QZW,5HGH,exact,[],exact,0,1,dc83a1bd3988c048,RED00324,RED00324,yes
3VXN,5HGH,exact,[],exact,0,1,dc83a1bd3988c048,RED00324,RED00324,yes
3UTS,3UTT,exact,"[{""left_index"":0,""right_index"":1,""left_length"":246,""right_length"":244,""relation"":""right_in_left"",""start_in_longer_0based"":2},{""left_index"":1,""right_index"":0,""left_length"":200,""right_length"":199,""relation"":""right_in_left"",""start_in_longer_0based"":1}]",right_in_left,2,1,17bbcedf47605bbb,RED00616,RED00616,yes
3VXO,5HGD,exact,[],exact,0,1,4c3ee31b1c5cd95b,RED00393,RED00393,yes
3VXU,3W0W,exact,"[{""left_index"":0,""right_index"":0,""left_length"":241,""right_length"":241,""relation"":""exact"",""start_in_longer_0based"":0},{""left_index"":1,""right_index"":1,""left_length"":199,""right_length"":204,""relation"":""left_in_right"",""start_in_longer_0based"":1}]",left_in_right,2,1,4c3ee31b1c5cd95b,RED00631,RED00631,yes
4F7T,7WT4,exact,[],exact,0,1,8ffd779ad6cc0dad,RED00164,RED00164,yes
4L29,4L3C,exact,[],exact,0,1,2a6ad4b684e29502,RED00636,RED00636,yes
4O2C,4O2E,exact,[],exact,0,1,7de29a663656f6f3,RED00231,RED00231,yes
4WU5,5HGB,exact,[],exact,0,1,23b602082c88a103,RED00554,RED00554,yes
4WU7,5HGA,exact,[],exact,0,1,b0000e10652ff609,RED00452,RED00452,yes
5N6B,9SL0,exact,[],exact,0,1,49e2c4bcb6c4990a,RED00113,RED00113,yes
5WMQ,7NUI,left_in_right,[],left_in_right,0,1,ab55bc976180c377,RED00371,RED00371,yes
5WWI,5WXD,exact,[],exact,0,1,5d4cca403fdbbf35,RED00747,RED00747,yes
6JTN,6ULK,exact,[],exact,0,1,7a6b1190bb9025e1,RED00827,RED00827,yes
6JTP,6ULI,exact,[],exact,0,1,af2695a419a5e290,RED00821,RED00821,yes
6P23,6P27,exact,[],exact,0,1,a908556d33574d79,RED00783,RED00783,yes
6P23,6P2C,exact,[],exact,0,1,a908556d33574d79,RED00783,RED00783,yes
6P23,6P2S,exact,[],exact,0,1,a908556d33574d79,RED00783,RED00783,yes
6P27,6P2C,exact,[],exact,0,1,a908556d33574d79,RED00783,RED00783,yes
6P27,6P2S,exact,[],exact,0,1,a908556d33574d79,RED00783,RED00783,yes
6P2C,6P2S,exact,[],exact,0,1,a908556d33574d79,RED00783,RED00783,yes
6UZN,6VB5,exact,[],exact,0,1,b9f42854336dba8f,RED00421,RED00421,yes
6UZN,6VB6,exact,[],exact,0,1,b9f42854336dba8f,RED00421,RED00421,yes
6UZN,6VB7,exact,[],exact,0,1,b9f42854336dba8f,RED00421,RED00421,yes
6VB5,6VB6,exact,[],exact,0,1,b9f42854336dba8f,RED00421,RED00421,yes
6VB5,6VB7,exact,[],exact,0,1,b9f42854336dba8f,RED00421,RED00421,yes
6VB6,6VB7,exact,[],exact,0,1,b9f42854336dba8f,RED00421,RED00421,yes
6VB4,6VIU,exact,[],exact,0,1,8c81d6b9a7ab8d66,RED00519,RED00519,yes
6VR5,6W51,exact,[],exact,0,1,5ddcf71cc92caa23,RED00531,RED00531,yes
7EJL,8HN4,right_in_left,[],right_in_left,0,1,ac42208e1d648546,RED00270,RED00270,yes
7L1C,8VCL,exact,[],exact,0,1,d6b077d396295611,RED00328,RED00328,yes
9CX1,9CX2,exact,[],exact,0,1,d6b077d396295611,RED00374,RED00374,yes
7LG0,7LGD,exact,[],exact,0,1,49429d2602f07628,RED00511,RED00511,yes
7LG0,9J4S,right_in_left,[],right_in_left,0,1,49429d2602f07628,RED00511,RED00511,yes
7LG0,9J4V,right_in_left,[],right_in_left,0,1,49429d2602f07628,RED00511,RED00511,yes
7LGD,9J4S,right_in_left,[],right_in_left,0,1,49429d2602f07628,RED00511,RED00511,yes
7LGD,9J4V,right_in_left,[],right_in_left,0,1,49429d2602f07628,RED00511,RED00511,yes
9J4S,9J4V,left_in_right,[],left_in_right,0,1,49429d2602f07628,RED00511,RED00511,yes
7MKB,7N1A,exact,[],exact,0,1,8978c13e23094e95,RED00137,RED00137,yes
7MKB,7N6D,exact,[],exact,0,1,8978c13e23094e95,RED00137,RED00137,yes
7MKB,7P3D,exact,[],exact,0,1,8978c13e23094e95,RED00137,RED00137,yes
7MKB,7RTD,exact,[],exact,0,1,8978c13e23094e95,RED00137,RED00137,yes
7N1A,7N6D,exact,[],exact,0,1,8978c13e23094e95,RED00137,RED00137,yes
7N1A,7P3D,exact,[],exact,0,1,8978c13e23094e95,RED00137,RED00137,yes
7N1A,7RTD,exact,[],exact,0,1,8978c13e23094e95,RED00137,RED00137,yes
7N6D,7P3D,exact,[],exact,0,1,8978c13e23094e95,RED00137,RED00137,yes
7N6D,7RTD,exact,[],exact,0,1,8978c13e23094e95,RED00137,RED00137,yes
7P3D,7RTD,exact,[],exact,0,1,8978c13e23094e95,RED00137,RED00137,yes
7NME,7NMF,exact,"[{""left_index"":0,""right_index"":0,""left_length"":191,""right_length"":194,""relation"":""left_in_right"",""start_in_longer_0based"":1},{""left_index"":1,""right_index"":1,""left_length"":240,""right_length"":240,""relation"":""exact"",""start_in_longer_0based"":0}]",left_in_right,2,1,1f09fd79b2bf399b,RED00455,RED00455,yes
8DVG,8VJZ,exact,[],exact,0,1,b02f7cab50450e88,RED00306,RED00306,yes
7RZD,7S8F,exact,[],exact,0,1,0a61417a775488dc,RED00222,RED00222,yes
7RZJ,7S8A,right_in_left,[],right_in_left,0,1,9cfb34c1f1d7ef72,RED00110,RED00110,yes
7RZJ,7S8E,exact,[],exact,0,1,9cfb34c1f1d7ef72,RED00110,RED00110,yes
7S8A,7S8E,left_in_right,[],left_in_right,0,1,9cfb34c1f1d7ef72,RED00110,RED00110,yes
8RJH,8ZV9,right_in_left,[],right_in_left,0,1,4c6991e014ff98f9,RED00628,RED00628,yes
8RJI,8Z07,exact,[],exact,0,1,76444ca3a832420d,RED00515,RED00515,yes
8SBK,8SBL,exact,[],exact,0,1,ca34bf171b288e1c,RED00226,RED00226,yes
8TBV,8U9G,exact,[],exact,0,1,8b00d78781cbaaf3,RED00637,RED00637,yes
9C6V,9C6W,exact,[],exact,0,1,11f4ef574183ee45,RED00166,RED00166,yes
