redundancy_group,group_size,pdb_id,representative_pdb_id,is_representative,representative_selection_reason,rank,total_peptide_length,mhc_length,binder_lengths,resolution_angstrom,experimental_method
RED00085,1,8EMI,8EMI,yes,singleton,1,189,180,,1.57301511861,X-ray
RED00086,1,6BXQ,6BXQ,yes,singleton,1,188,180,,1.58,X-ray
RED00087,1,6O4Y,6O4Y,yes,singleton,1,189,180,,1.58,X-ray
RED00088,1,7KGS,7KGS,yes,singleton,1,189,180,,1.58,X-ray
RED00089,1,7CIQ,7CIQ,yes,singleton,1,190,180,,1.59,X-ray
RED00090,1,1M6O,1M6O,yes,singleton,1,189,180,,1.6,X-ray
RED00091,1,1ZHK,1ZHK,yes,singleton,1,193,180,,1.6,X-ray
RED00092,1,2HN7,2HN7,yes,singleton,1,190,180,,1.6,X-ray
RED00093,3,2V2W,2V2W,yes,best_resolution,1,189,180,,1.6,X-ray
RED00093,3,1T21,2V2W,no,best_resolution,2,189,180,,2.19,X-ray
RED00093,3,1T22,2V2W,no,best_resolution,3,189,180,,2.2,X-ray
RED00094,1,2V2X,2V2X,yes,singleton,1,189,180,,1.6,X-ray
RED00095,2,2VLL,2VLL,yes,best_resolution,1,189,180,,1.6,X-ray
RED00095,2,1HHI,2VLL,no,best_resolution,2,189,180,,2.5,X-ray
RED00096,2,3BGM,3BGM,yes,best_resolution,1,189,180,,1.6,X-ray
RED00096,2,4NNX,3BGM,no,best_resolution,2,189,180,,2.104,X-ray
RED00097,1,3DX7,3DX7,yes,singleton,1,190,180,,1.6,X-ray
RED00098,2,3GSO,3GSO,yes,best_resolution,1,189,180,,1.6,X-ray
RED00098,2,2X4R,3GSO,no,best_resolution,2,189,180,,2.3,X-ray
RED00099,1,3KPM,3KPM,yes,singleton,1,189,180,,1.6,X-ray
RED00100,1,3MRR,3MRR,yes,singleton,1,190,180,,1.6,X-ray
RED00101,1,3PWN,3PWN,yes,singleton,1,189,180,,1.6,X-ray
RED00102,1,4G8I,4G8I,yes,singleton,1,190,180,,1.6,X-ray
RED00103,1,4G9D,4G9D,yes,singleton,1,190,180,,1.6,X-ray
RED00104,1,5DEF,5DEF,yes,singleton,1,189,180,,1.6,X-ray
RED00105,1,6J29,6J29,yes,singleton,1,189,180,,1.6,X-ray
RED00106,1,6TDQ,6TDQ,yes,singleton,1,184,180,,1.6,X-ray
RED00107,1,6V2Q,6V2Q,yes,singleton,1,189,180,,1.6,X-ray
RED00108,1,7MJ7,7MJ7,yes,singleton,1,191,180,,1.6,X-ray
RED00109,1,7R7V,7R7V,yes,singleton,1,189,180,,1.6,X-ray
RED00110,3,7S8E,7S8E,yes,best_resolution,1,189,180,,1.6,X-ray
RED00110,3,7RZJ,7S8E,no,best_resolution,2,189,180,,1.8,X-ray
RED00110,3,7S8A,7S8E,no,best_resolution,3,188,179,,2.1,X-ray
RED00111,1,8FU4,8FU4,yes,singleton,1,189,180,,1.6,X-ray
RED00112,1,8RNH,8RNH,yes,singleton,1,189,180,,1.6,X-ray
RED00113,2,9SL0,9SL0,yes,best_resolution,1,189,180,,1.6,X-ray
RED00113,2,5N6B,9SL0,no,best_resolution,2,189,180,,1.71,X-ray
RED00114,1,7R7Y,7R7Y,yes,singleton,1,189,180,,1.601,X-ray
RED00115,1,6EI2,6EI2,yes,singleton,1,190,180,,1.61,X-ray
RED00116,1,3V5H,3V5H,yes,singleton,1,189,180,,1.63,X-ray
RED00117,1,7UM2,7UM2,yes,singleton,1,189,180,,1.63,X-ray
RED00118,1,5C0J,5C0J,yes,singleton,1,190,180,,1.64,X-ray
RED00119,1,5VWH,5VWH,yes,singleton,1,189,180,,1.648,X-ray
RED00120,1,2BVO,2BVO,yes,singleton,1,191,180,,1.65,X-ray
RED00121,1,3BH8,3BH8,yes,singleton,1,190,180,,1.65,X-ray
RED00122,1,3FQN,3FQN,yes,singleton,1,188,180,,1.65,X-ray
RED00123,1,3KLA,3KLA,yes,singleton,1,189,180,,1.65,X-ray
RED00124,1,3PWL,3PWL,yes,singleton,1,189,180,,1.65,X-ray
RED00125,1,3VFU,3VFU,yes,singleton,1,193,180,,1.65,X-ray
RED00126,1,4PRE,4PRE,yes,singleton,1,191,180,,1.65,X-ray
RED00127,1,4PRN,4PRN,yes,singleton,1,191,180,,1.65,X-ray
RED00128,1,4WJ5,4WJ5,yes,singleton,1,189,180,,1.65,X-ray
RED00129,1,6TDO,6TDO,yes,singleton,1,182,180,,1.65,X-ray
RED00130,1,8ELG,8ELG,yes,singleton,1,189,180,,1.65,X-ray
RED00131,1,8RCV,8RCV,yes,singleton,1,190,180,,1.65,X-ray
RED00132,1,3WL9,3WL9,yes,singleton,1,190,180,,1.66,X-ray
RED00133,3,5NMK,5NMK,yes,best_resolution,1,189,180,,1.66,X-ray
RED00133,3,1T1W,5NMK,no,best_resolution,2,189,180,,2.2,X-ray
RED00133,3,2C7U,5NMK,no,best_resolution,3,189,180,,2.38,X-ray
RED00134,1,6JP3,6JP3,yes,singleton,1,189,180,,1.66,X-ray
RED00135,1,8EMK,8EMK,yes,singleton,1,189,180,,1.66523002948,X-ray
RED00136,1,3UTQ,3UTQ,yes,singleton,1,190,180,,1.67,X-ray
RED00137,5,7P3D,7P3D,yes,best_resolution,1,189,180,,1.67,X-ray
RED00137,5,7MKB,7P3D,no,best_resolution,2,189,180,,1.9,X-ray
RED00137,5,7RTD,7P3D,no,best_resolution,3,189,180,,2.05,X-ray
RED00137,5,7N1A,7P3D,no,best_resolution,4,189,180,,2.065,X-ray
RED00137,5,7N6D,7P3D,no,best_resolution,5,189,180,,2.3,X-ray
RED00138,1,7T5M,7T5M,yes,singleton,1,197,180,,1.67,X-ray
RED00139,2,3QFD,3QFD,yes,best_resolution,1,189,180,,1.68,X-ray
RED00139,2,2GUO,3QFD,no,best_resolution,2,189,180,,1.9,X-ray
RED00140,1,4U6X,4U6X,yes,singleton,1,190,180,,1.68,X-ray
RED00141,1,5C0D,5C0D,yes,singleton,1,190,180,,1.68,X-ray
RED00142,1,5T6X,5T6X,yes,singleton,1,190,180,,1.686,X-ray
RED00143,1,6Y28,6Y28,yes,singleton,1,189,180,,1.69,X-ray
RED00144,1,7MJA,7MJA,yes,singleton,1,189,180,,1.69,X-ray
RED00145,1,5TXS,5TXS,yes,singleton,1,189,180,,1.697,X-ray
RED00146,1,5XOS,5XOS,yes,singleton,1,189,180,,1.697,X-ray
RED00147,1,2BNQ,2BNQ,yes,singleton,1,633,180,241;203,1.7,X-ray
RED00148,1,5TEZ,5TEZ,yes,singleton,1,631,180,202;240,1.7,X-ray
RED00149,1,1N2R,1N2R,yes,singleton,1,189,180,,1.7,X-ray
RED00150,2,1SYV,1SYV,yes,best_resolution,1,189,180,,1.7,X-ray
RED00150,2,8TQ5,1SYV,no,best_resolution,2,189,180,,2.3,X-ray
RED00151,1,1ZSD,1ZSD,yes,singleton,1,191,180,,1.7,X-ray
RED00152,1,2GIT,2GIT,yes,singleton,1,189,180,,1.7,X-ray
RED00153,2,2GTZ,2GTZ,yes,best_resolution,1,189,180,,1.7,X-ray
RED00153,2,1JHT,2GTZ,no,best_resolution,2,189,180,,2.15,X-ray
RED00154,1,2NW3,2NW3,yes,singleton,1,191,180,,1.7,X-ray
RED00155,1,3BH9,3BH9,yes,singleton,1,190,180,,1.7,X-ray
RED00156,1,3FQR,3FQR,yes,singleton,1,190,180,,1.7,X-ray
RED00157,1,3FQX,3FQX,yes,singleton,1,189,180,,1.7,X-ray
RED00158,1,3L3I,3L3I,yes,singleton,1,189,180,,1.7,X-ray
RED00159,1,3MRD,3MRD,yes,singleton,1,189,180,,1.7,X-ray
RED00160,1,3O3D,3O3D,yes,singleton,1,188,180,,1.7,X-ray
RED00161,1,3OXR,3OXR,yes,singleton,1,190,180,,1.7,X-ray
RED00162,1,3PWJ,3PWJ,yes,singleton,1,189,180,,1.7,X-ray
RED00163,1,3VFO,3VFO,yes,singleton,1,193,180,,1.7,X-ray
RED00164,2,4F7T,4F7T,yes,best_resolution,1,188,180,,1.7,X-ray
RED00164,2,7WT4,4F7T,no,best_resolution,2,188,180,,1.89459140677,X-ray
RED00165,3,6TDS,6TDS,yes,best_resolution,1,180,180,,1.7,X-ray
RED00165,3,6TDR,6TDS,no,best_resolution,2,180,180,,1.75,X-ray
RED00165,3,7STG,6TDS,no,best_resolution,3,180,180,,2.7,X-ray
RED00166,2,9C6V,9C6V,yes,pdb_id_tiebreak_same_mhc_same_resolution_and_binder_length,1,191,180,,1.7,X-ray
RED00166,2,9C6W,9C6V,no,pdb_id_tiebreak_same_mhc_same_resolution_and_binder_length,2,191,180,,1.7,X-ray
RED00167,1,9C6X,9C6X,yes,singleton,1,193,180,,1.7,X-ray
RED00168,1,3DX6,3DX6,yes,singleton,1,190,180,,1.701,X-ray
RED00169,1,4NO3,4NO3,yes,singleton,1,189,180,,1.703,X-ray
RED00170,1,1UXW,1UXW,yes,singleton,1,189,180,,1.71,X-ray
RED00171,1,7EJM,7EJM,yes,singleton,1,189,180,,1.71,X-ray
RED00172,1,7SIF,7SIF,yes,singleton,1,189,180,,1.73,X-ray
RED00173,1,3D18,3D18,yes,singleton,1,189,180,,1.74,X-ray
RED00174,1,7SIG,7SIG,yes,singleton,1,189,180,,1.741,X-ray
RED00175,1,9BL4,9BL4,yes,singleton,1,468,180,278,1.75,X-ray
RED00176,2,2CIK,2CIK,yes,best_resolution,1,189,180,,1.75,X-ray
RED00176,2,2H6P,2CIK,no,best_resolution,2,189,180,,1.9,X-ray
RED00177,1,2GT9,2GT9,yes,singleton,1,190,180,,1.75,X-ray
RED00178,1,3BW9,3BW9,yes,singleton,1,192,180,,1.75,X-ray
RED00179,1,3OXS,3OXS,yes,singleton,1,190,180,,1.75,X-ray
RED00180,1,4PRB,4PRB,yes,singleton,1,191,180,,1.75,X-ray
RED00181,1,4PRD,4PRD,yes,singleton,1,191,180,,1.75,X-ray
RED00182,1,6VB1,6VB1,yes,singleton,1,189,180,,1.75,X-ray
RED00183,1,7MJ9,7MJ9,yes,singleton,1,189,180,,1.75,X-ray
RED00184,1,8EMJ,8EMJ,yes,singleton,1,189,180,,1.75002880736,X-ray
RED00185,1,5T6Y,5T6Y,yes,singleton,1,192,180,,1.76,X-ray
RED00186,1,4I4W,4I4W,yes,singleton,1,189,180,,1.77,X-ray
RED00187,1,6VQE,6VQE,yes,singleton,1,190,180,,1.77,X-ray
RED00188,1,9ASF,9ASF,yes,singleton,1,189,180,,1.77,X-ray
RED00189,1,5MEO,5MEO,yes,singleton,1,189,180,,1.772,X-ray
RED00190,1,8XES,8XES,yes,singleton,1,189,180,,1.78,X-ray
RED00191,1,1XR9,1XR9,yes,singleton,1,189,180,,1.788,X-ray
RED00192,1,7MJ8,7MJ8,yes,singleton,1,192,180,,1.79,X-ray
RED00193,1,9UV8,9UV8,yes,singleton,1,189,180,,1.79,X-ray
RED00194,1,6OPD,6OPD,yes,singleton,1,189,180,,1.791,X-ray
RED00195,1,6UZM,6UZM,yes,singleton,1,189,180,,1.798,X-ray
RED00196,1,3VXS,3VXS,yes,singleton,1,636,180,204;242,1.8,X-ray
RED00197,1,3VH8,3VH8,yes,singleton,1,470,180,281,1.8,X-ray
RED00198,3,1DUZ,1DUZ,yes,best_resolution,1,189,180,,1.8,X-ray
RED00198,3,1HHK,1DUZ,no,best_resolution,2,189,180,,2.5,X-ray
RED00198,3,6UZ1,1DUZ,no,best_resolution,3,189,180,,3.14,X-ray
RED00199,1,1I7U,1I7U,yes,singleton,1,189,180,,1.8,X-ray
RED00200,1,1TVB,1TVB,yes,singleton,1,189,180,,1.8,X-ray
RED00201,1,2AXF,2AXF,yes,singleton,1,190,180,,1.8,X-ray
RED00202,1,3B6S,3B6S,yes,singleton,1,189,180,,1.8,X-ray
RED00203,1,3BO8,3BO8,yes,singleton,1,189,180,,1.8,X-ray
RED00204,1,3BP7,3BP7,yes,singleton,1,189,180,,1.8,X-ray
RED00205,1,3FQT,3FQT,yes,singleton,1,189,180,,1.8,X-ray
RED00206,1,3FQU,3FQU,yes,singleton,1,189,180,,1.8,X-ray
RED00207,1,3FT2,3FT2,yes,singleton,1,189,180,,1.8,X-ray
RED00208,1,3GSU,3GSU,yes,singleton,1,189,180,,1.8,X-ray
RED00209,1,3L3D,3L3D,yes,singleton,1,189,180,,1.8,X-ray
RED00210,1,3LKO,3LKO,yes,singleton,1,189,180,,1.8,X-ray
RED00211,1,3LKP,3LKP,yes,singleton,1,189,180,,1.8,X-ray
RED00212,1,3LKQ,3LKQ,yes,singleton,1,189,180,,1.8,X-ray
RED00213,1,3MRC,3MRC,yes,singleton,1,189,180,,1.8,X-ray
RED00214,1,3O3A,3O3A,yes,singleton,1,188,180,,1.8,X-ray
RED00215,1,4PR5,4PR5,yes,singleton,1,191,180,,1.8,X-ray
RED00216,1,5GRD,5GRD,yes,singleton,1,190,180,,1.8,X-ray
RED00217,1,5IEK,5IEK,yes,singleton,1,189,180,,1.8,X-ray
RED00218,1,5VUE,5VUE,yes,singleton,1,189,180,,1.8,X-ray
RED00219,1,5VWD,5VWD,yes,singleton,1,189,180,,1.8,X-ray
RED00220,1,5VWF,5VWF,yes,singleton,1,189,180,,1.8,X-ray
RED00221,1,7ALO,7ALO,yes,singleton,1,189,180,,1.8,X-ray
RED00222,2,7S8F,7S8F,yes,best_resolution,1,189,180,,1.8,X-ray
RED00222,2,7RZD,7S8F,no,best_resolution,2,189,180,,1.82,X-ray
RED00223,1,7U1R,7U1R,yes,singleton,1,189,180,,1.8,X-ray
RED00224,1,8FRT,8FRT,yes,singleton,1,193,180,,1.8,X-ray
RED00225,1,8RBV,8RBV,yes,singleton,1,189,180,,1.8,X-ray
RED00226,2,8SBK,8SBK,yes,best_resolution,1,189,180,,1.8,X-ray
RED00226,2,8SBL,8SBK,no,best_resolution,2,189,180,,3.0,X-ray
RED00227,1,8YZR,8YZR,yes,singleton,1,189,180,,1.8,X-ray
RED00228,1,9WK0,9WK0,yes,singleton,1,189,180,,1.8,X-ray
RED00229,1,1TVH,1TVH,yes,singleton,1,189,180,,1.802,X-ray
RED00230,1,4HX1,4HX1,yes,singleton,1,189,180,,1.802,X-ray
RED00231,2,4O2C,4O2C,yes,best_resolution,1,189,180,,1.802,X-ray
RED00231,2,4O2E,4O2C,no,best_resolution,2,189,180,,1.981,X-ray
RED00232,1,8EMF,8EMF,yes,singleton,1,189,180,,1.80482421415,X-ray
RED00233,1,8RYP,8RYP,yes,singleton,1,616,180,237;190,1.81,X-ray
RED00234,1,3GSW,3GSW,yes,singleton,1,189,180,,1.81,X-ray
RED00235,1,7CIR,7CIR,yes,singleton,1,190,180,,1.81,X-ray
RED00236,1,7OW4,7OW4,yes,singleton,1,188,180,,1.81,X-ray
RED00237,1,5DEG,5DEG,yes,singleton,1,189,180,,1.83,X-ray
RED00238,1,6D2R,6D2R,yes,singleton,1,191,180,,1.83,X-ray
RED00239,1,8EMG,8EMG,yes,singleton,1,189,180,,1.83001273614,X-ray
RED00240,1,3KPQ,3KPQ,yes,singleton,1,189,180,,1.84,X-ray
RED00241,1,8XG2,8XG2,yes,singleton,1,192,180,,1.84,X-ray
RED00242,1,1JF1,1JF1,yes,singleton,1,190,180,,1.85,X-ray
RED00243,1,2HJK,2HJK,yes,singleton,1,191,180,,1.85,X-ray
RED00244,1,3BP4,3BP4,yes,singleton,1,189,180,,1.85,X-ray
RED00245,1,3O3E,3O3E,yes,singleton,1,188,180,,1.85,X-ray
RED00246,1,3VFP,3VFP,yes,singleton,1,193,180,,1.85,X-ray
RED00247,1,3VFR,3VFR,yes,singleton,1,193,180,,1.85,X-ray
RED00248,1,3VFS,3VFS,yes,singleton,1,193,180,,1.85,X-ray
RED00249,1,4PRA,4PRA,yes,singleton,1,191,180,,1.85,X-ray
RED00250,1,5ENW,5ENW,yes,singleton,1,189,180,,1.85,X-ray
RED00251,1,7SA2,7SA2,yes,singleton,1,189,180,,1.85,X-ray
RED00252,1,8ELH,8ELH,yes,singleton,1,189,180,,1.85,X-ray
RED00253,1,9GV7,9GV7,yes,singleton,1,619,180,241;187,1.86,X-ray
RED00254,1,3B3I,3B3I,yes,singleton,1,189,180,,1.86,X-ray
RED00255,1,3BXN,3BXN,yes,singleton,1,189,180,,1.864,X-ray
RED00256,1,3C9N,3C9N,yes,singleton,1,189,180,,1.87,X-ray
RED00257,1,3MRJ,3MRJ,yes,singleton,1,189,180,,1.87,X-ray
RED00258,1,5D9S,5D9S,yes,singleton,1,191,180,,1.87,X-ray
RED00259,1,7S8S,7S8S,yes,singleton,1,190,180,,1.87,X-ray
RED00260,1,3H7B,3H7B,yes,singleton,1,189,180,,1.88,X-ray
RED00261,1,5MER,5MER,yes,singleton,1,189,180,,1.88,X-ray
RED00262,1,6D29,6D29,yes,singleton,1,190,180,,1.88,X-ray
RED00263,1,6VQD,6VQD,yes,singleton,1,186,180,,1.88,X-ray
RED00264,1,8F7M,8F7M,yes,singleton,1,190,180,,1.88,X-ray
RED00265,2,8YZZ,8YZZ,yes,best_resolution,1,189,180,,1.88,X-ray
RED00265,2,7F4W,8YZZ,no,best_resolution,2,189,180,,2.9,X-ray
RED00266,1,7WT3,7WT3,yes,singleton,1,184,180,,1.88765498464,X-ray
RED00267,1,2P5E,2P5E,yes,singleton,1,624,180,241;194,1.89,X-ray
RED00268,1,3MYJ,3MYJ,yes,singleton,1,189,180,,1.89,X-ray
RED00269,1,6PBH,6PBH,yes,singleton,1,187,180,,1.89,X-ray
RED00270,2,7EJL,7EJL,yes,greatest_mhc_length,1,189,180,,1.89,X-ray
RED00270,2,8HN4,7EJL,no,greatest_mhc_length,2,187,178,,2.853,X-ray
RED00271,1,7ZUC,7ZUC,yes,singleton,1,189,180,,1.89,X-ray
RED00272,1,9SKP,9SKP,yes,singleton,1,190,180,,1.89,X-ray
RED00273,1,4G9F,4G9F,yes,singleton,1,644,180,204;250,1.9,X-ray
RED00274,1,2BNR,2BNR,yes,singleton,1,633,180,241;203,1.9,X-ray
RED00275,1,3GJF,3GJF,yes,singleton,1,615,180,220;206,1.9,X-ray
RED00276,1,1HSB,1HSB,yes,singleton,1,185,180,,1.9,X-ray
RED00277,1,1JGD,1JGD,yes,singleton,1,190,180,,1.9,X-ray
RED00278,1,1M05,1M05,yes,singleton,1,189,180,,1.9,X-ray
RED00279,1,1T1Z,1T1Z,yes,singleton,1,189,180,,1.9,X-ray
RED00280,1,2FZ3,2FZ3,yes,singleton,1,191,180,,1.9,X-ray
RED00281,2,2X4Q,2X4Q,yes,best_resolution,1,189,180,,1.9,X-ray
RED00281,2,2X4P,2X4Q,no,best_resolution,2,189,180,,2.3,X-ray
RED00282,1,3FT4,3FT4,yes,singleton,1,189,180,,1.9,X-ray
RED00283,1,3GSV,3GSV,yes,singleton,1,189,180,,1.9,X-ray
RED00284,1,3KPP,3KPP,yes,singleton,1,189,180,,1.9,X-ray
RED00285,1,3LKS,3LKS,yes,singleton,1,189,180,,1.9,X-ray
RED00286,1,3MRM,3MRM,yes,singleton,1,190,180,,1.9,X-ray
RED00287,1,3O3B,3O3B,yes,singleton,1,188,180,,1.9,X-ray
RED00288,1,3REW,3REW,yes,singleton,1,189,180,,1.9,X-ray
RED00289,1,3VFM,3VFM,yes,singleton,1,193,180,,1.9,X-ray
RED00290,1,4F7P,4F7P,yes,singleton,1,187,180,,1.9,X-ray
RED00291,1,4JFQ,4JFQ,yes,singleton,1,190,180,,1.9,X-ray
RED00292,1,4JQX,4JQX,yes,singleton,1,192,180,,1.9,X-ray
RED00293,1,4NNY,4NNY,yes,singleton,1,189,180,,1.9,X-ray
RED00294,1,5HHP,5HHP,yes,singleton,1,189,180,,1.9,X-ray
RED00295,1,5T6W,5T6W,yes,singleton,1,190,180,,1.9,X-ray
RED00296,1,5VUF,5VUF,yes,singleton,1,189,180,,1.9,X-ray
RED00297,1,6D2T,6D2T,yes,singleton,1,189,180,,1.9,X-ray
RED00298,1,6UZS,6UZS,yes,singleton,1,189,180,,1.9,X-ray
RED00299,1,6VB0,6VB0,yes,singleton,1,189,180,,1.9,X-ray
