pdb_id,chain,tstart,tend
7PB2,A,1,179
3NFN,A,1,180
5HGH,A,1,180
5T6Y,A,1,180
5VUE,A,1,180
7MJ7,A,1,180
8I5C,A,1,180
7S7D,A,1,180
5WKF,A,1,180
4NQX,A,1,180
6J29,A,1,180
4PRN,A,1,180
5HHM,A,1,180
3OXR,A,1,180
7MJ9,A,1,180
6JTP,A,1,179
5VUF,A,1,180
5T6X,A,1,180
5C07,A,1,180
3GJF,A,1,180
7LGD,A,1,180
5BRZ,A,1,180
5C0C,A,1,180
8ISN,A,1,180
3VFN,A,1,180
7KGT,A,1,180
3O4L,A,1,180
5W1W,A,1,178
2X70,A,1,180
6Z9X,A,1,180
2BVO,A,1,180
3GSO,A,1,180
6P64,A,1,180
6P2C,A,1,179
4XXC,A,1,180
7S8A,A,1,179
9BL6,A,1,180
6SSA,A,1,180
8TBW,A,1,180
3VFP,A,1,180
7OW5,A,1,179
2VLL,A,1,180
7JYV,A,1,180
3MRB,A,1,180
5SWQ,A,1,180
8RBU,A,1,180
3PWL,A,1,180
3X13,A,1,179
2X4S,A,1,180
4G8G,A,1,180
3IXA,A,1,180
7PBC,A,1,179
6RP9,A,1,180
7WJ3,A,1,179
7T5M,A,1,180
3VFU,A,1,180
6Q3S,A,1,180
1A1N,A,1,180
5HHO,A,1,180
4JQV,A,1,180
6UJ8,A,1,179
8F5A,A,1,180
3LN4,A,1,179
4MNQ,A,1,180
7R7X,A,1,180
6VB2,A,1,180
8XG2,A,1,180
6R2L,A,1,180
8SBK,A,1,180
4WUU,A,1,180
5E00,A,1,180
5FA4,A,1,179
8E8I,A,1,179
6MT6,A,1,180
3MRQ,A,1,180
8TUH,A,1,179
1W72,A,1,180
6G3J,A,1,180
8SHI,A,1,179
6O4Z,A,1,180
2VLK,A,1,180
2P5E,A,1,180
4O2E,A,1,180
7LGT,A,1,180
6O4Y,A,1,180
3PWN,A,1,180
4LCY,A,1,180
6PTE,A,1,180
5C08,A,1,180
5E9D,A,1,180
5HHP,A,1,180
2GJ6,A,1,180
3MRM,A,1,180
6RSY,A,1,180
6TRO,A,1,179
8XES,A,1,180
4PRA,A,1,180
8FU4,A,1,180
6BXP,A,1,180
3HPJ,A,1,180
2DYP,A,1,179
3O3E,A,1,180
3V5H,A,1,180
5WKH,A,1,180
3SJV,A,1,179
3BXN,A,1,180
6O9C,A,2,180
7BH8,C,1,179
3BH8,A,1,180
8I5E,A,1,180
3VRJ,A,1,179
5WMP,A,1,179
1I1F,A,1,180
6TRN,A,1,180
3VFV,A,1,180
8TBV,A,1,180
6SS9,A,1,180
8U9G,A,1,180
5MEN,A,1,180
5WMN,A,1,179
7WT5,A,2,181
3D39,A,1,180
7L1C,A,1,180
5IRO,A,1,180
6V2P,A,1,180
1S9W,A,1,180
5N6B,A,1,180
6VMA,A,1,180
7WZZ,A,1,180
3LN5,A,1,179
3GSX,A,1,180
8EO8,A,1,179
5V5M,A,1,180
8EMG,A,1,180
7RM4,A,1,180
7RRG,A,1,180
2AV1,A,1,180
7DZN,A,1,179
4U6Y,A,1,180
7SRK,A,107,286
5C0B,A,1,180
8ERX,A,1,180
8ES9,A,1,180
6VB0,A,1,180
8E2Z,A,1,173
4U1I,A,2,180
2GUO,A,1,180
3L3K,A,1,180
3UTS,A,1,180
9BL5,A,1,180
4UQ3,A,1,180
5WXC,A,1,180
5T6W,A,1,180
6JTN,A,1,179
1OGA,A,1,180
6D2T,A,1,180
6PBH,A,1,180
5IEH,A,1,180
1B0G,A,1,180
7RZJ,A,1,180
6MTL,A,1,180
3MR9,A,1,180
1B0R,A,1,180
3GSQ,A,1,180
2GTW,A,1,180
3MRC,A,1,180
3HCV,A,1,180
6EWC,A,1,180
1AGF,A,1,179
4JRX,A,1,180
8ES8,A,1,180
1MHE,C,1,178
3I6G,A,1,180
4L29,A,1,180
6BJ2,A,1,180
7WT3,A,2,181
4I4W,A,1,180
7NDU,A,1,178
5EU4,A,1,180
6VB7,A,1,180
3KPO,A,1,180
3PWJ,A,1,180
7N6D,A,1,180
4E5X,A,1,180
5C09,A,1,180
1AGD,A,1,179
7KGR,A,1,180
1AO7,A,1,180
7SIH,A,1,180
3GSR,A,1,180
3H7B,A,1,180
7Q98,A,1,180
1TVH,A,1,180
3GSU,A,1,180
3BZE,A,1,178
7EJN,A,1,180
8RJI,A,1,180
3MRJ,A,1,180
2J8U,A,1,180
4FTV,A,1,180
3HAE,A,1,180
6UZN,A,1,180
1QR1,A,1,180
6V3J,A,1,180
5NMF,A,1,180
7Q9A,A,1,180
7JYW,A,1,178
2AV7,A,1,180
6PYV,A,1,180
7N1F,A,1,180
6VM7,A,1,180
8EMK,A,1,180
6D2R,A,1,180
7U21,A,1,180
6TDP,A,1,180
5DDH,A,1,180
7M8T,A,1,180
3VFS,A,1,180
3VRI,A,1,179
6Z9V,A,1,180
4U1L,A,2,180
7NMG,A,1,180
2BCK,A,1,180
2RFX,A,1,180
6UJ9,A,2,180
8EK5,A,1,180
2BNR,A,1,180
1AGE,A,1,179
7QPJ,A,1,180
5EUO,A,1,180
3FT3,A,1,180
3MRH,A,1,180
7Q9B,A,1,180
5N1Y,A,2,181
6UJO,A,1,180
4GKS,A,1,180
6VB6,A,1,180
3L3J,A,1,180
7SR5,A,110,289
5EOT,A,1,179
7SIF,A,1,180
5MEP,A,1,180
4QRS,A,1,179
6IEX,A,1,179
3KYN,A,3,180
4HWZ,A,1,180
7MJ8,A,1,180
3BHB,A,1,180
8RNH,A,1,180
6SS7,A,1,180
6P2F,A,1,179
5FA3,A,1,179
3KPP,A,1,180
8UDR,A,1,180
4MJI,A,1,180
7N2O,A,1,180
1I7U,A,1,180
8SBL,A,1,180
3LKO,A,1,180
3RL1,A,1,180
3HG1,A,1,180
4NNY,A,1,180
3VXM,A,1,180
1I7R,A,1,180
5C0E,A,2,181
6UZP,A,1,180
5W67,A,1,179
7SU9,A,1,179
6VB5,A,1,180
4JRY,A,1,180
2HJL,A,1,180
3LKN,A,1,180
2JCC,A,1,180
6ULK,A,1,179
3MRG,A,1,180
7MJ6,A,1,180
3MV9,A,1,180
6XQA,A,1,180
8TUB,A,1,179
5C0F,A,2,181
3MRP,A,1,180
4U6X,A,1,180
3MRO,A,1,180
5WMO,A,1,179
5C0D,A,1,180
3GSV,A,1,180
3UTQ,A,1,180
1JF1,A,1,180
2BNQ,A,1,180
3QFD,A,1,180
3BH9,A,1,180
6VMX,A,1,179
4MJ6,A,1,180
6UZO,A,1,180
1N2R,A,1,180
7Q99,A,1,180
8EMJ,A,1,180
5TEZ,A,1,180
3FQN,A,1,180
7SR0,A,110,289
3VFR,A,1,180
7N2S,A,1,180
2HN7,A,1,180
3OXS,A,1,180
3O3A,A,1,180
6OPD,A,1,180
6AMU,A,1,179
6EWO,A,1,180
4I48,A,1,180
5IND,A,1,180
3KLA,A,1,180
3BWA,A,1,180
6BXQ,A,1,180
6O9B,A,2,180
4WJ5,A,1,180
7SR3,A,114,293
4QRP,A,1,179
5EU6,A,1,180
5INC,A,1,180
9BL2,A,1,180
7X1C,A,1,180
3MRK,A,1,180
8ESH,A,1,177
5VWJ,A,1,180
4PR5,A,1,180
1X7Q,A,1,180
3LKP,A,1,180
6SS8,A,1,180
3VXO,A,1,180
8RNE,A,1,179
6VB4,A,1,180
6VIU,A,1,180
3MRE,A,1,180
9DL1,A,1,180
2AXG,A,1,180
3QZW,A,1,180
6AT5,A,1,179
3TO2,A,1,180
1MI5,A,1,179
3FQR,A,1,180
7YG3,A,1,180
8XKE,A,1,180
3KPQ,A,1,180
6VQZ,A,1,180
7SR4,A,112,291
6MT5,A,1,180
3KYO,A,1,179
1K5N,A,1,180
4JFD,A,1,180
7MLE,A,1,180
7N2P,A,1,180
6EQA,A,1,180
3MRF,A,1,180
8EMF,A,1,180
3DX6,A,1,180
3MRR,A,1,180
3VXR,A,1,180
8RH6,C,1,180
3MYJ,A,1,180
3MRD,A,1,180
5MEO,A,1,180
7XF3,A,1,180
5VUD,A,1,180
5T6Z,A,1,180
1AGB,A,1,179
7N1A,A,1,180
6O51,A,1,180
3AM8,A,1,179
5EU5,A,1,180
6BJ3,A,1,179
5NMH,A,1,180
2FZ3,A,1,180
6VQY,A,1,180
6TDO,A,1,180
2V2X,A,1,180
6RPB,A,1,180
5EO0,A,1,179
3QDM,A,1,180
8RNF,A,1,179
4L3E,A,1,180
3MRN,A,1,180
4HX1,A,1,180
6JTO,A,1,179
4NT6,A,3,180
3GIV,A,1,180
4WU7,A,1,180
6VMC,A,1,180
8ELH,A,1,180
1AGC,A,1,179
6AVG,A,1,179
3D25,A,1,180
3SPV,A,1,179
4U1M,A,1,179
4PRI,A,1,180
5C0J,A,2,181
1DUZ,A,1,180
1A1O,A,1,180
6V2Q,A,1,180
7OW3,A,1,179
7TUC,A,1,180
5C0A,A,1,180
8V51,A,1,180
8RJH,A,1,180
1TVB,A,1,180
2GIT,A,1,180
5F7D,A,1,179
5YXN,A,1,180
7TLT,A,1,180
3VFW,A,1,180
6D7G,A,111,290
8FRT,A,115,294
3MRI,A,1,180
2GT9,A,1,180
6ULN,A,1,179
5BS0,A,1,180
6PYJ,A,1,180
1IM3,A,1,180
3I6K,A,1,180
2H6P,A,1,180
3VFT,A,1,180
7R7V,A,1,180
8FJA,A,1,180
7M8U,A,1,180
4PRP,A,1,180
7M8S,A,1,180
3SKO,A,1,176
3DX7,A,1,180
1XH3,A,1,180
3X14,A,1,179
3BW9,A,1,180
5KNM,A,1,180
7SIG,A,1,180
5C0G,A,1,180
2YPL,A,1,180
5U98,A,1,179
2V2W,A,1,180
5NQK,A,1,180
6PTB,A,1,180
2GTZ,A,1,180
5WXD,A,1,180
4NNX,A,1,180
9BLA,A,1,180
8EMI,A,1,180
5WWI,A,1,180
7X00,A,1,180
5NHT,A,1,180
7UR1,A,1,180
3L3G,A,1,180
3BGM,A,1,180
4NO2,A,1,180
6UK4,A,1,180
7L1B,A,1,180
4U1N,A,2,180
1SYS,A,1,180
1EEZ,A,1,180
5C0I,A,2,181
7N2N,A,1,180
9DL1,C,1,180
3W39,A,2,181
2X4P,A,1,180
7S8R,A,1,180
4PRB,A,1,180
7STG,A,101,280
1SYV,A,1,180
3W0W,A,1,180
7DZM,A,3,180
4PRH,A,1,179
3KPL,A,1,180
6ULR,A,1,178
6O53,A,1,179
6UJQ,A,1,180
3BVN,A,1,180
6VRM,A,1,179
2FYY,A,1,180
6TDS,A,1,180
1JHT,A,1,180
5VWH,A,1,180
2VLJ,A,1,180
1E28,A,1,180
7UC5,A,1,180
5YXU,A,1,180
2X4Q,A,1,180
4NO3,A,1,180
3CDG,A,2,179
8WUL,A,1,180
3D18,A,1,180
4UQ2,A,1,180
1ZHK,A,1,180
8VCL,A,1,180
6D29,A,1,180
4U1J,A,2,180
7L1D,A,1,180
8CX4,A,1,180
4U1S,A,2,180
3LKQ,A,1,180
6RPA,A,1,180
8GOM,A,1,180
5NME,A,1,180
6VR5,A,1,180
3KPM,A,1,180
7TUE,A,1,180
3FFC,A,1,179
7PDW,A,1,179
4MJ5,A,1,180
6AT9,A,1,180
1XR8,A,1,180
4JFQ,A,1,180
7RE8,A,1,180
3DTX,A,1,180
3DTX,B,1,180
5T70,A,1,180
7R7W,A,1,180
6VQ2,A,1,180
6DKP,A,1,180
9ASF,A,1,180
2X4T,A,1,180
7K81,A,1,180
5IEK,A,1,180
3DX8,A,1,180
5GSD,A,1,180
6VQO,A,1,179
6V2O,A,1,180
6PZ5,A,1,180
5MEQ,A,1,180
4LNR,A,1,180
4JFO,A,1,180
6K60,A,1,174
4PRE,A,1,180
8REF,A,1,180
6UZM,A,1,180
3LKS,A,1,180
6BJ8,A,1,178
3MRL,A,1,180
1ZSD,A,1,180
4QRQ,A,1,172
3MV7,A,1,180
1JGD,A,1,180
6TMO,A,1,180
7R80,A,1,180
7K80,A,1,180
6Q3K,A,2,181
1ZHL,A,1,180
2YPK,A,1,180
3VCL,A,1,179
7R7Y,A,1,180
8F7M,A,1,180
8DNT,A,1,180
1W0W,A,1,180
7PHR,A,1,180
5VGD,A,1,179
8WTE,A,1,180
7STF,A,1,179
7EU2,A,5,184
9ASG,A,1,180
6VR1,A,1,180
1M6O,A,1,180
9BL3,A,1,180
6EWA,A,1,180
5XOS,A,1,180
6PYL,A,1,180
6Y26,A,1,180
7ST3,A,105,284
5DEF,A,1,180
2AK4,A,1,180
1I1Y,A,1,180
5WMQ,A,1,179
6NCA,A,1,180
4U1H,A,2,180
3VH8,A,1,180
1W0V,A,1,180
5GRG,A,1,180
2HJK,A,1,180
3VFO,A,1,180
7SSH,A,110,289
3L3I,A,1,180
6PA1,A,1,179
3HLA,A,1,180
2X4O,A,1,180
9C6X,A,117,296
1HHJ,A,1,180
7ALO,A,1,180
5B38,A,1,180
7SQP,A,113,292
2PYE,A,1,180
3KPS,A,1,180
3LKR,A,1,180
6VQE,A,1,180
3B3I,A,1,180
5GRD,A,1,180
6G3K,A,1,180
2X4R,A,1,180
8GVB,A,1,179
8VJZ,A,1,180
4PRD,A,1,180
4L3C,A,1,180
6D78,A,1,180
8V4Z,A,1,179
8RHQ,C,1,180
6VRN,A,1,180
8TNJ,A,110,287
5NMG,A,1,180
9BL9,A,1,179
4QRU,A,1,179
3KPR,A,1,180
2CIK,A,1,180
4K7F,A,1,179
7T0L,A,1,180
3KWW,A,1,180
2BVQ,A,1,180
3VFM,A,1,180
2BSS,A,1,180
3L3D,A,1,180
2NW3,A,1,180
7X1B,A,1,180
3QDG,A,1,180
4JQX,A,1,180
5MER,A,1,180
3DXA,A,1,180
2BST,A,1,180
4QRT,A,1,179
9BL4,A,1,180
8RJ5,A,1,180
6VB3,A,2,181
8FJB,A,1,180
5D2L,A,1,179
8RH6,D,1,180
6EQB,A,1,180
6PYW,A,1,180
3QEQ,A,1,180
7CIR,A,1,180
5IB5,A,1,180
2P5W,A,1,180
3MV8,A,1,180
3WUW,A,1,180
5B39,A,1,180
3UPR,A,1,179
3O3D,A,1,180
8GVG,A,1,180
2C7U,A,1,180
4GKN,A,1,180
1KTL,A,1,179
6Y2B,A,1,180
2X4U,A,1,180
3SKM,A,1,173
8RCV,A,1,180
6Y29,A,1,180
4EUP,A,1,180
3LV3,A,1,180
2AXF,A,1,180
3BP7,A,1,180
3KPN,A,1,180
1TMC,A,1,174
3QDJ,A,1,180
5WMR,A,1,170
7RE7,A,1,180
8RHQ,E,1,178
5DEG,A,1,180
5IB1,A,1,180
4G9D,A,1,180
8VRA,A,1,178
2VLR,A,1,180
3BP4,A,1,180
6VQD,A,1,180
8HN4,A,2,179
1M05,A,1,172
7DYN,A,1,180
6Y28,A,1,180
7CIS,A,1,180
1KPR,A,1,179
4G9F,A,1,180
5D2N,A,2,179
1A1M,A,1,180
3BO8,A,1,180
9C6W,A,113,292
6EI2,A,1,180
6Y27,A,1,180
4G8I,A,1,180
8ESB,A,1,180
8RRO,A,1,180
6VPZ,A,1,180
6APN,A,113,292
1UXW,A,1,180
8YIV,A,1,180
9C6V,A,116,295
3CZF,A,1,180
1HSA,A,1,180
5IB4,A,1,180
2A83,A,1,180
2BSR,A,1,180
8T7R,A,1,180
1OF2,A,1,180
8VR9,A,1,180
8T6M,A,1,180
7CIQ,A,1,180
5VGE,A,1,179
6UON,A,1,179
8YJ2,A,1,180
5IB2,A,1,180
3B6S,A,1,180
1OGT,A,1,180
7N2Q,A,1,180
6Y2A,A,1,180
8V50,A,1,179
8GVI,A,1,180
3CII,A,1,179
7QPD,A,1,178
4U1K,A,2,180
1JGE,A,1,180
8ESA,A,1,180
8T7R,E,1,180
8T7R,G,1,180
5IB3,A,1,180
1UXS,A,1,180
2HLA,A,1,180
8EC5,A,1,161
8VRB,A,1,180
1QQD,A,1,179
7DUU,A,1,179
1EFX,A,2,180
8TMU,A,1,179
5XS3,A,1,177
1IM9,A,1,179
1IM9,E,3,180
5E6I,A,1,180
9C3E,A,94,252
6PUI,A,3,177
5U1R,A,3,175
5U72,A,3,173
6PUL,A,3,177
5U16,A,3,175
6PUD,A,3,177
6XQP,A,1,175
7ZT8,A,3,178
9BTX,A,3,175
5U6Q,A,3,175
4NQD,A,1,177
6PUM,A,3,175
4L4V,A,1,176
6PUC,A,3,177
6PUJ,A,3,175
6W9U,A,3,177
6PUH,A,3,177
9CGR,A,3,178
8Y6X,A,3,178
4PJF,A,1,175
5D7I,A,1,175
6PVD,A,3,175
6PVC,A,3,177
6PUF,A,3,175
4PJI,A,1,174
4NQE,A,3,178
4NQC,A,3,175
5U2V,A,3,178
4PJ5,A,1,175
9BTY,A,3,177
6PUG,A,3,177
6PUE,A,3,177
5U17,A,1,177
7ZT3,A,2,178
4PJE,A,1,172
4PJ8,A,1,175
5D7L,A,1,177
6PUK,A,3,175
6W9V,A,3,177
7ZT2,A,1,177
4PJ9,A,3,178
9BTZ,A,3,176
4PJG,A,1,175
4PJC,A,3,176
7UFJ,A,3,176
5D7J,A,1,174
4PJ7,A,3,176
9BU0,A,3,175
4PJH,A,1,174
5D5M,A,1,175
8BP6,A,100,275
7ZT5,A,3,176
4PJD,A,3,178
7ZT7,A,3,176
4PJX,A,3,174
7ZT4,A,3,176
4PJA,A,3,176
7LLI,A,3,178
4LCW,A,3,176
4L4T,A,3,178
7UMG,A,2,175
4GUP,A,2,176
7ZT9,A,3,176
4PJB,A,3,178
7LLJ,A,3,178
1T7X,A,2,176
6MWR,A,2,176
1T7Y,A,2,175
3ES6,A,6,179
1T7Z,A,2,175
1T80,A,2,177
1DE4,A,1,178
1T7V,A,2,175
1T7W,A,2,175
6R2U,A,2,178
1A6Z,A,1,178
1ZAG,A,2,174
6NHA,A,3,163
6C98,A,2,169
7Q15,A,1,171
6WNA,A,2,171
6C97,A,2,171
6WOL,A,2,169
2WY3,A,3,173
6QIO,A,1,172
5BJT,A,2,171
6C99,A,3,172
4N0F,A,2,171
4N0U,A,2,171
6FGB,A,1,171
6LA6,A,1,171
6QIP,A,1,172
6ILM,A,2,171
4WO4,A,3,172
1JE6,A,3,176
8TM0,A,1,161
5WHK,A,2,158
6V7Y,A,6,179
3M17,A,2,168
8TM2,A,1,164
5BXF,A,2,170
8SOS,A,3,179
4K71,A,2,171
3SDX,A,1,176
1ONQ,A,2,173
1EXU,A,3,163
6LA7,A,2,170
7MXF,A,1,178
8TLZ,A,1,162
3M1B,A,2,167
7MX4,A,1,178
7C9V,A,2,170
1KCG,A,1,170
4S0U,A,1,174
1B3J,A,1,165
3U0P,A,1,177
1XZ0,A,1,176
4WW2,A,6,177
6V7Z,A,3,179
8DV4,A,1,177
4LHU,A,4,176
8SGM,A,3,176
3HUJ,A,1,173
6SNY,A,2,167
8DV3,A,6,179
8SOS,B,1,174
3D2U,A,1,181
3VWK,A,2,171
7RYO,A,2,176
3TZV,A,2,175
1L8J,A,3,168
7FI9,A,3,161
7RYN,A,3,173
8GLE,A,6,179
4MNG,A,1,177
7MXH,A,4,179
7FI6,A,1,165
8GLF,A,6,179
5L2J,A,6,179
4EN3,A,2,174
7KP1,A,3,171
7OKS,A,1,166
8SGB,A,3,177
6NUX,A,2,167
1GZP,A,6,179
1HYR,A,2,176
8GLH,A,3,179
7FI5,A,1,162
7KP0,A,1,171
5C9J,A,1,174
4X6D,A,2,171
4V3E,A,2,166
5WL1,A,6,179
3OV6,A,106,279
7OKU,A,3,171
7RYM,A,2,171
8GLI,A,6,179
3T8X,A,3,179
6D64,A,6,179
7SH4,A,1,169
4V3D,A,1,167
6C09,A,2,173
8GLG,A,3,178
2PO6,A,3,176
4X6E,A,2,164
7OKV,A,2,165
4ONO,A,106,277
7FI7,A,3,165
6CUG,A,4,180
1GZQ,A,4,180
7Q5D,A,2,171
2H26,A,6,179
4WWK,A,2,171
5L2K,A,6,179
7OKT,A,2,162
3VWJ,A,2,169
5J1A,A,2,168
5WKE,A,6,179
5WKG,A,6,179
1ZT4,A,4,176
6V80,A,1,177
4MQ7,A,1,168
7FI8,A,3,164
5WKI,A,1,175
8ZOX,A,3,176
7KOZ,A,1,170
8C44,A,2,164
1UQS,A,7,180
4X6F,A,2,163
4X6C,A,2,165
4FFE,A,1,148
6C15,A,3,169
7XXA,A,2,144
3S6C,A,103,269
4PDC,A,1,148
3IT8,A,2,177
