[CONFIG] STEP6.1
STEP1_CSV:             /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step1/pdb/pdb_assemblies.csv | exists=True
STEP5_REMAP_CSV:       /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/pdb_assemblies_remapped.csv | exists=True
STEP5_CHAIN_MAP_CSV:   /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/chain_map.csv | exists=True
STEP5_PDB_DIR:         /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/1_mhc_configured | exists=True
ORIGINAL_LIST_CSV:     /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_list.csv | exists=True
ORIGINAL_CONTACTS_CSV: /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_mhc_contacts.csv | exists=True
ORIGINAL_BINDER_CSV:   /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_binder_contacts.csv | exists=True
MANUAL_LIGANDS_CSV:    /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/manual_problematic_ligands.csv | exists=True
POSSIBLE_LIGANDS_CSV:  /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/possible_ligands.csv | exists=True
Output dir:            /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/2_trimmed_mhc

[INIT] problematic_list_current.csv
[INIT] problematic_mhc_contacts_current.csv
[INIT] problematic_binder_contacts_current.csv
[CSV] remapped=      1173
[CSV] duplicate_pdbs= 9
[CSV] problematic=   165
[CSV] mhc_contacts=  164
[CSV] binder_auto=   5
[CSV] manual_rows=   22

[START] STEP6.1
[SAVED] 8RLV: non-problematic trimmed; trimmed_removed=134; output=8rlv_trimmed_mhc.pdb
[SAVED] 1T1Z: non-problematic trimmed; trimmed_removed=420; output=1t1z_trimmed_mhc.pdb
[SAVED] 7ZUC: non-problematic trimmed; trimmed_removed=208; output=7zuc_trimmed_mhc.pdb
[SAVED] 7SIS: non-problematic trimmed; trimmed_removed=339; output=7sis_trimmed_mhc.pdb
[SAVED] 5TXS: non-problematic trimmed; trimmed_removed=495; output=5txs_trimmed_mhc.pdb
[SAVED] 5VWD: non-problematic trimmed; trimmed_removed=576; output=5vwd_trimmed_mhc.pdb
[SAVED] 6Z9W: non-problematic trimmed; trimmed_removed=128; output=6z9w_trimmed_mhc.pdb
[SAVED] 5WWU: non-problematic trimmed; trimmed_removed=94; output=5wwu_trimmed_mhc.pdb
[SAVED] 8YE4: non-problematic trimmed; trimmed_removed=100; output=8ye4_trimmed_mhc.pdb
[SAVED] 7NME: non-problematic trimmed; trimmed_removed=177; output=7nme_trimmed_mhc.pdb
[SAVED] 3VXS: non-problematic trimmed; trimmed_removed=337; output=3vxs_trimmed_mhc.pdb
[SAVED] 5VWF: non-problematic trimmed; trimmed_removed=538; output=5vwf_trimmed_mhc.pdb
[SAVED] 6P23: non-problematic trimmed; trimmed_removed=295; output=6p23_trimmed_mhc.pdb
[SAVED] 4F7P: non-problematic trimmed; trimmed_removed=295; output=4f7p_trimmed_mhc.pdb
[SAVED] 5HHQ: non-problematic trimmed; trimmed_removed=224; output=5hhq_trimmed_mhc.pdb
[SAVED] 7BBG: non-problematic trimmed; trimmed_removed=174; output=7bbg_trimmed_mhc.pdb
[SAVED] 7RTD: non-problematic trimmed; trimmed_removed=247; output=7rtd_trimmed_mhc.pdb
[SAVED] 2ESV: non-problematic trimmed; trimmed_removed=140; output=2esv_trimmed_mhc.pdb
[SAVED] 4NO0: non-problematic trimmed; trimmed_removed=109; output=4no0_trimmed_mhc.pdb
[SAVED] 5HGB: non-problematic trimmed; trimmed_removed=208; output=5hgb_trimmed_mhc.pdb
[SAVED] 7NMD: non-problematic trimmed; trimmed_removed=190; output=7nmd_trimmed_mhc.pdb
[SAVED] 1A9E: non-problematic trimmed; trimmed_removed=152; output=1a9e_trimmed_mhc.pdb
[SAVED] 7N6E: non-problematic trimmed; trimmed_removed=91; output=7n6e_trimmed_mhc.pdb
[SAVED] 7U1R: non-problematic trimmed; trimmed_removed=248; output=7u1r_trimmed_mhc.pdb
[SAVED] 7P4B: non-problematic trimmed; trimmed_removed=268; output=7p4b_trimmed_mhc.pdb
[SAVED] 7JYX: non-problematic trimmed; trimmed_removed=120; output=7jyx_trimmed_mhc.pdb
[SAVED] 1Q94: non-problematic trimmed; trimmed_removed=140; output=1q94_trimmed_mhc.pdb
[SAVED] 2F54: non-problematic trimmed; trimmed_removed=100; output=2f54_trimmed_mhc.pdb
[SAVED] 4QOK: non-problematic trimmed; trimmed_removed=105; output=4qok_trimmed_mhc.pdb
[SAVED] 5XOT: non-problematic trimmed; trimmed_removed=108; output=5xot_trimmed_mhc.pdb
[SAVED] 1T21: non-problematic trimmed; trimmed_removed=354; output=1t21_trimmed_mhc.pdb
[SAVED] 3RL2: non-problematic trimmed; trimmed_removed=248; output=3rl2_trimmed_mhc.pdb
[SAVED] 7TR4: non-problematic trimmed; trimmed_removed=145; output=7tr4_trimmed_mhc.pdb
[SAVED] 6MTM: non-problematic trimmed; trimmed_removed=98; output=6mtm_trimmed_mhc.pdb
[SAVED] 7MJA: non-problematic trimmed; trimmed_removed=360; output=7mja_trimmed_mhc.pdb
[SAVED] 3GSW: non-problematic trimmed; trimmed_removed=307; output=3gsw_trimmed_mhc.pdb
[SAVED] 1AKJ: non-problematic trimmed; trimmed_removed=148; output=1akj_trimmed_mhc.pdb
[SAVED] 1QSF: non-problematic trimmed; trimmed_removed=104; output=1qsf_trimmed_mhc.pdb
[SAVED] 5W6A: non-problematic trimmed; trimmed_removed=386; output=5w6a_trimmed_mhc.pdb
[SAVED] 3FQT: non-problematic trimmed; trimmed_removed=397; output=3fqt_trimmed_mhc.pdb
[SAVED] 4F7M: non-problematic trimmed; trimmed_removed=227; output=4f7m_trimmed_mhc.pdb
[SAVED] 1HHH: non-problematic trimmed; trimmed_removed=95; output=1hhh_trimmed_mhc.pdb
[SAVED] 1T1X: non-problematic trimmed; trimmed_removed=341; output=1t1x_trimmed_mhc.pdb
[SAVED] 8QFY: non-problematic trimmed; trimmed_removed=114; output=8qfy_trimmed_mhc.pdb
[SAVED] 7NDQ: non-problematic trimmed; trimmed_removed=105; output=7ndq_trimmed_mhc.pdb
[SAVED] 6W51: non-problematic trimmed; trimmed_removed=88; output=6w51_trimmed_mhc.pdb
[SAVED] 8EN8: non-problematic trimmed; trimmed_removed=175; output=8en8_trimmed_mhc.pdb
[SAVED] 6J2A: non-problematic trimmed; trimmed_removed=434; output=6j2a_trimmed_mhc.pdb
[SAVED] 7S8S: non-problematic trimmed; trimmed_removed=254; output=7s8s_trimmed_mhc.pdb
[SAVED] 5WJL: non-problematic trimmed; trimmed_removed=114; output=5wjl_trimmed_mhc.pdb
[SAVED] 7S7E: non-problematic trimmed; trimmed_removed=373; output=7s7e_trimmed_mhc.pdb
[SAVED] 6UZ1: non-problematic trimmed; trimmed_removed=97; output=6uz1_trimmed_mhc.pdb
[SAVED] 7WJ2: non-problematic trimmed; trimmed_removed=311; output=7wj2_trimmed_mhc.pdb
[SAVED] 3D3V: non-problematic trimmed; trimmed_removed=110; output=3d3v_trimmed_mhc.pdb
[SAVED] 7F4W: non-problematic trimmed; trimmed_removed=100; output=7f4w_trimmed_mhc.pdb
[SAVED] 3I6L: non-problematic trimmed; trimmed_removed=263; output=3i6l_trimmed_mhc.pdb
[SAVED] 1XR9: non-problematic trimmed; trimmed_removed=555; output=1xr9_trimmed_mhc.pdb
[SAVED] 2XPG: non-problematic trimmed; trimmed_removed=101; output=2xpg_trimmed_mhc.pdb
[SAVED] 3PWP: non-problematic trimmed; trimmed_removed=119; output=3pwp_trimmed_mhc.pdb
[SAVED] 6J1V: non-problematic trimmed; trimmed_removed=303; output=6j1v_trimmed_mhc.pdb
[SAVED] 3KXF: non-problematic trimmed; trimmed_removed=101; output=3kxf_trimmed_mhc.pdb
[SAVED] 1I4F: non-problematic trimmed; trimmed_removed=415; output=1i4f_trimmed_mhc.pdb
[SAVED] 8RYO: non-problematic trimmed; trimmed_removed=202; output=8ryo_trimmed_mhc.pdb
[SAVED] 6MT3: non-problematic trimmed; trimmed_removed=559; output=6mt3_trimmed_mhc.pdb
[SAVED] 3V5K: non-problematic trimmed; trimmed_removed=193; output=3v5k_trimmed_mhc.pdb
[SAVED] 6UK2: non-problematic trimmed; trimmed_removed=95; output=6uk2_trimmed_mhc.pdb
[SAVED] 7KGO: non-problematic trimmed; trimmed_removed=227; output=7kgo_trimmed_mhc.pdb
[SAVED] 7RTR: non-problematic trimmed; trimmed_removed=110; output=7rtr_trimmed_mhc.pdb
[SAVED] 3WLB: non-problematic trimmed; trimmed_removed=281; output=3wlb_trimmed_mhc.pdb
[SAVED] 8RBV: non-problematic trimmed; trimmed_removed=258; output=8rbv_trimmed_mhc.pdb
[SAVED] 6UJ7: non-problematic trimmed; trimmed_removed=278; output=6uj7_trimmed_mhc.pdb
[SAVED] 6GHN: non-problematic trimmed; trimmed_removed=168; output=6ghn_trimmed_mhc.pdb
[SAVED] 1T1W: non-problematic trimmed; trimmed_removed=325; output=1t1w_trimmed_mhc.pdb
[SAVED] 7JYU: non-problematic trimmed; trimmed_removed=129; output=7jyu_trimmed_mhc.pdb
[SAVED] 8XKC: non-problematic trimmed; trimmed_removed=135; output=8xkc_trimmed_mhc.pdb
[SAVED] 6VM8: non-problematic trimmed; trimmed_removed=125; output=6vm8_trimmed_mhc.pdb
[SAVED] 6ZKZ: non-problematic trimmed; trimmed_removed=135; output=6zkz_trimmed_mhc.pdb
[SAVED] 4QRR: non-problematic trimmed; trimmed_removed=107; output=4qrr_trimmed_mhc.pdb
[SAVED] 3VXP: non-problematic trimmed; trimmed_removed=166; output=3vxp_trimmed_mhc.pdb
[SAVED] 5WSH: non-problematic trimmed; trimmed_removed=441; output=5wsh_trimmed_mhc.pdb
[SAVED] 5WWJ: non-problematic trimmed; trimmed_removed=217; output=5wwj_trimmed_mhc.pdb
[SAVED] 5VZ5: non-problematic trimmed; trimmed_removed=124; output=5vz5_trimmed_mhc.pdb
[SAVED] 7NUI: non-problematic trimmed; trimmed_removed=169; output=7nui_trimmed_mhc.pdb
[SAVED] 5HHN: non-problematic trimmed; trimmed_removed=339; output=5hhn_trimmed_mhc.pdb
[SAVED] 1S8D: non-problematic trimmed; trimmed_removed=352; output=1s8d_trimmed_mhc.pdb
[SAVED] 7RK7: non-problematic trimmed; trimmed_removed=65; output=7rk7_trimmed_mhc.pdb
[SAVED] 4JFP: non-problematic trimmed; trimmed_removed=248; output=4jfp_trimmed_mhc.pdb
[SAVED] 6ZKY: non-problematic trimmed; trimmed_removed=101; output=6zky_trimmed_mhc.pdb
[SAVED] 8I5D: non-problematic trimmed; trimmed_removed=94; output=8i5d_trimmed_mhc.pdb
[SAVED] 1DUY: non-problematic trimmed; trimmed_removed=259; output=1duy_trimmed_mhc.pdb
[SAVED] 3UTT: non-problematic trimmed; trimmed_removed=118; output=3utt_trimmed_mhc.pdb
[SAVED] 7PBE: non-problematic trimmed; trimmed_removed=98; output=7pbe_trimmed_mhc.pdb
[SAVED] 3H9S: non-problematic trimmed; trimmed_removed=112; output=3h9s_trimmed_mhc.pdb
[SAVED] 4O2F: non-problematic trimmed; trimmed_removed=405; output=4o2f_trimmed_mhc.pdb
[SAVED] 1A9B: non-problematic trimmed; trimmed_removed=97; output=1a9b_trimmed_mhc.pdb
[SAVED] 6ZKX: non-problematic trimmed; trimmed_removed=204; output=6zkx_trimmed_mhc.pdb
[SAVED] 1YDP: non-problematic trimmed; trimmed_removed=407; output=1ydp_trimmed_mhc.pdb
[SAVED] 7EJM: non-problematic trimmed; trimmed_removed=412; output=7ejm_trimmed_mhc.pdb
[SAVED] 3V5D: non-problematic trimmed; trimmed_removed=225; output=3v5d_trimmed_mhc.pdb
[SAVED] 3QFJ: non-problematic trimmed; trimmed_removed=161; output=3qfj_trimmed_mhc.pdb
[SAVED] 2NX5: non-problematic trimmed; trimmed_removed=113; output=2nx5_trimmed_mhc.pdb
[SAVED] 6ULI: non-problematic trimmed; trimmed_removed=175; output=6uli_trimmed_mhc.pdb
[SAVED] 7LG2: non-problematic trimmed; trimmed_removed=151; output=7lg2_trimmed_mhc.pdb
[SAVED] 1CG9: non-problematic trimmed; trimmed_removed=186; output=1cg9_trimmed_mhc.pdb
[SAVED] 6GGM: non-problematic trimmed; trimmed_removed=187; output=6ggm_trimmed_mhc.pdb
[SAVED] 5ENW: non-problematic trimmed; trimmed_removed=273; output=5enw_trimmed_mhc.pdb
[SAVED] 7S8Q: non-problematic trimmed; trimmed_removed=297; output=7s8q_trimmed_mhc.pdb
[SAVED] 3WL9: non-problematic trimmed; trimmed_removed=429; output=3wl9_trimmed_mhc.pdb
[SAVED] 1S9Y: non-problematic trimmed; trimmed_removed=249; output=1s9y_trimmed_mhc.pdb
[SAVED] 2CLR: non-problematic trimmed; trimmed_removed=95; output=2clr_trimmed_mhc.pdb
[SAVED] 5IUE: non-problematic trimmed; trimmed_removed=140; output=5iue_trimmed_mhc.pdb
[SAVED] 3MGT: non-problematic trimmed; trimmed_removed=289; output=3mgt_trimmed_mhc.pdb
[SAVED] 5F9J: non-problematic trimmed; trimmed_removed=145; output=5f9j_trimmed_mhc.pdb
[SAVED] 3OX8: non-problematic trimmed; trimmed_removed=260; output=3ox8_trimmed_mhc.pdb
[SAVED] 1E27: non-problematic trimmed; trimmed_removed=378; output=1e27_trimmed_mhc.pdb
[SAVED] 3FT2: non-problematic trimmed; trimmed_removed=254; output=3ft2_trimmed_mhc.pdb
[SAVED] 3FQW: non-problematic trimmed; trimmed_removed=330; output=3fqw_trimmed_mhc.pdb
[SAVED] 1T20: non-problematic trimmed; trimmed_removed=305; output=1t20_trimmed_mhc.pdb
[SAVED] 3C9N: non-problematic trimmed; trimmed_removed=365; output=3c9n_trimmed_mhc.pdb
[SAVED] 4WU5: non-problematic trimmed; trimmed_removed=183; output=4wu5_trimmed_mhc.pdb
[SAVED] 2BVP: non-problematic trimmed; trimmed_removed=645; output=2bvp_trimmed_mhc.pdb
[SAVED] 4NQV: non-problematic trimmed; trimmed_removed=208; output=4nqv_trimmed_mhc.pdb
[SAVED] 7KGS: non-problematic trimmed; trimmed_removed=442; output=7kgs_trimmed_mhc.pdb
[SAVED] 6AEE: non-problematic trimmed; trimmed_removed=96; output=6aee_trimmed_mhc.pdb
[SAVED] 6JP3: non-problematic trimmed; trimmed_removed=402; output=6jp3_trimmed_mhc.pdb
[SAVED] 5HGA: non-problematic trimmed; trimmed_removed=156; output=5hga_trimmed_mhc.pdb
[SAVED] 1HHG: non-problematic trimmed; trimmed_removed=95; output=1hhg_trimmed_mhc.pdb
[SAVED] 4JFF: non-problematic trimmed; trimmed_removed=139; output=4jff_trimmed_mhc.pdb
[SAVED] 7N2R: non-problematic trimmed; trimmed_removed=107; output=7n2r_trimmed_mhc.pdb
[SAVED] 8ELG: non-problematic trimmed; trimmed_removed=481; output=8elg_trimmed_mhc.pdb
[SAVED] 5NMK: non-problematic trimmed; trimmed_removed=312; output=5nmk_trimmed_mhc.pdb
[DUPLICATES] 1MHE: removed_chains=['C']
[SAVED] 1MHE: non-problematic trimmed; trimmed_removed=99; output=1mhe_trimmed_mhc.pdb
[SAVED] 6GH4: non-problematic trimmed; trimmed_removed=276; output=6gh4_trimmed_mhc.pdb
[SAVED] 8RYM: non-problematic trimmed; trimmed_removed=120; output=8rym_trimmed_mhc.pdb
[SAVED] 5D9S: non-problematic trimmed; trimmed_removed=323; output=5d9s_trimmed_mhc.pdb
[SAVED] 7LG3: non-problematic trimmed; trimmed_removed=203; output=7lg3_trimmed_mhc.pdb
[SAVED] 6MPP: non-problematic trimmed; trimmed_removed=95; output=6mpp_trimmed_mhc.pdb
[SAVED] 3VXN: non-problematic trimmed; trimmed_removed=227; output=3vxn_trimmed_mhc.pdb
[SAVED] 8RLT: non-problematic trimmed; trimmed_removed=160; output=8rlt_trimmed_mhc.pdb
[SAVED] 8ENH: non-problematic trimmed; trimmed_removed=198; output=8enh_trimmed_mhc.pdb
[SAVED] 7N1B: non-problematic trimmed; trimmed_removed=94; output=7n1b_trimmed_mhc.pdb
[DUPLICATES] 8RH6: removed_chains=['C', 'D']
[SAVED] 8RH6: non-problematic trimmed; trimmed_removed=95; output=8rh6_trimmed_mhc.pdb
[SAVED] 7SA2: non-problematic trimmed; trimmed_removed=321; output=7sa2_trimmed_mhc.pdb
[SAVED] 5IM7: non-problematic trimmed; trimmed_removed=163; output=5im7_trimmed_mhc.pdb
[SAVED] 8RNG: non-problematic trimmed; trimmed_removed=320; output=8rng_trimmed_mhc.pdb
[SAVED] 6D2B: non-problematic trimmed; trimmed_removed=420; output=6d2b_trimmed_mhc.pdb
[SAVED] 7S8F: non-problematic trimmed; trimmed_removed=434; output=7s8f_trimmed_mhc.pdb
[SAVED] 7KGP: non-problematic trimmed; trimmed_removed=430; output=7kgp_trimmed_mhc.pdb
[SAVED] 1EEY: non-problematic trimmed; trimmed_removed=144; output=1eey_trimmed_mhc.pdb
[SAVED] 2X4N: non-problematic trimmed; trimmed_removed=173; output=2x4n_trimmed_mhc.pdb
[SAVED] 7N1E: non-problematic trimmed; trimmed_removed=171; output=7n1e_trimmed_mhc.pdb
[SAVED] 5W1V: non-problematic trimmed; trimmed_removed=94; output=5w1v_trimmed_mhc.pdb
[SAVED] 8ROP: non-problematic trimmed; trimmed_removed=472; output=8rop_trimmed_mhc.pdb
[DUPLICATES] 8RHQ: removed_chains=['C', 'E']
[SAVED] 8RHQ: non-problematic trimmed; trimmed_removed=222; output=8rhq_trimmed_mhc.pdb
[SAVED] 7S79: non-problematic trimmed; trimmed_removed=488; output=7s79_trimmed_mhc.pdb
[SAVED] 6P2S: non-problematic trimmed; trimmed_removed=293; output=6p2s_trimmed_mhc.pdb
[SAVED] 4F7T: non-problematic trimmed; trimmed_removed=409; output=4f7t_trimmed_mhc.pdb
[SAVED] 5JHD: non-problematic trimmed; trimmed_removed=130; output=5jhd_trimmed_mhc.pdb
[SAVED] 7WT4: non-problematic trimmed; trimmed_removed=348; output=7wt4_trimmed_mhc.pdb
[SAVED] 1QVO: non-problematic trimmed; trimmed_removed=224; output=1qvo_trimmed_mhc.pdb
[SAVED] 1QEW: non-problematic trimmed; trimmed_removed=330; output=1qew_trimmed_mhc.pdb
[SAVED] 4O2C: non-problematic trimmed; trimmed_removed=473; output=4o2c_trimmed_mhc.pdb
[SAVED] 2F53: non-problematic trimmed; trimmed_removed=349; output=2f53_trimmed_mhc.pdb
[SAVED] 7S7F: non-problematic trimmed; trimmed_removed=424; output=7s7f_trimmed_mhc.pdb
[SAVED] 7KGQ: non-problematic trimmed; trimmed_removed=527; output=7kgq_trimmed_mhc.pdb
[SAVED] 3O3B: non-problematic trimmed; trimmed_removed=312; output=3o3b_trimmed_mhc.pdb
[SAVED] 1S9X: non-problematic trimmed; trimmed_removed=230; output=1s9x_trimmed_mhc.pdb
[SAVED] 2UWE: non-problematic trimmed; trimmed_removed=132; output=2uwe_trimmed_mhc.pdb
[SAVED] 5HGD: non-problematic trimmed; trimmed_removed=345; output=5hgd_trimmed_mhc.pdb
[SAVED] 6VB1: non-problematic trimmed; trimmed_removed=455; output=6vb1_trimmed_mhc.pdb
[SAVED] 1LP9: non-problematic trimmed; trimmed_removed=174; output=1lp9_trimmed_mhc.pdb
[SAVED] 8RYQ: non-problematic trimmed; trimmed_removed=105; output=8ryq_trimmed_mhc.pdb
[MHC_MANUAL] 6TDQ: moved ligand groups to chains=['C', 'D']
[SAVED] 6TDQ: action=move; new_ligand_chains=['C', 'D']; moved=4; trimmed_removed=518; output=6tdq_trimmed_mhc.pdb
[SAVED] 7RZD: non-problematic trimmed; trimmed_removed=427; output=7rzd_trimmed_mhc.pdb
[SAVED] 3REW: non-problematic trimmed; trimmed_removed=253; output=3rew_trimmed_mhc.pdb
[SAVED] 5ISZ: non-problematic trimmed; trimmed_removed=326; output=5isz_trimmed_mhc.pdb
[SAVED] 7WKJ: non-problematic trimmed; trimmed_removed=326; output=7wkj_trimmed_mhc.pdb
[SAVED] 6AVF: non-problematic trimmed; trimmed_removed=178; output=6avf_trimmed_mhc.pdb
[SAVED] 5WJN: non-problematic trimmed; trimmed_removed=168; output=5wjn_trimmed_mhc.pdb
[SAVED] 8RYP: non-problematic trimmed; trimmed_removed=255; output=8ryp_trimmed_mhc.pdb
[SAVED] 8XFZ: non-problematic trimmed; trimmed_removed=131; output=8xfz_trimmed_mhc.pdb
[SAVED] 6GL1: non-problematic trimmed; trimmed_removed=154; output=6gl1_trimmed_mhc.pdb
[SAVED] 6UZQ: non-problematic trimmed; trimmed_removed=222; output=6uzq_trimmed_mhc.pdb
[SAVED] 1QRN: non-problematic trimmed; trimmed_removed=112; output=1qrn_trimmed_mhc.pdb
[SAVED] 6MT4: non-problematic trimmed; trimmed_removed=542; output=6mt4_trimmed_mhc.pdb
[SAVED] 5EU3: non-problematic trimmed; trimmed_removed=190; output=5eu3_trimmed_mhc.pdb
[SAVED] 5FDW: non-problematic trimmed; trimmed_removed=146; output=5fdw_trimmed_mhc.pdb
[SAVED] 8E13: non-problematic trimmed; trimmed_removed=284; output=8e13_trimmed_mhc.pdb
[SAVED] 6TDR: non-problematic trimmed; trimmed_removed=509; output=6tdr_trimmed_mhc.pdb
[SAVED] 6UZS: non-problematic trimmed; trimmed_removed=391; output=6uzs_trimmed_mhc.pdb
[SAVED] 3FQX: non-problematic trimmed; trimmed_removed=408; output=3fqx_trimmed_mhc.pdb
[SAVED] 6VM9: non-problematic trimmed; trimmed_removed=95; output=6vm9_trimmed_mhc.pdb
[SAVED] 3FT4: non-problematic trimmed; trimmed_removed=250; output=3ft4_trimmed_mhc.pdb
[SAVED] 6AM5: non-problematic trimmed; trimmed_removed=192; output=6am5_trimmed_mhc.pdb
[SAVED] 8RYN: non-problematic trimmed; trimmed_removed=199; output=8ryn_trimmed_mhc.pdb
[SAVED] 8ROO: non-problematic trimmed; trimmed_removed=326; output=8roo_trimmed_mhc.pdb
[SAVED] 6PAG: non-problematic trimmed; trimmed_removed=98; output=6pag_trimmed_mhc.pdb
