pdb_id,new_chain,original_chain,uniprot_id,gene_name,uniprot_name,organism,classification
3GSN,C,B,GO_FALLBACK,Missing entry,"RA14 TCR beta chain (TRBV6-5, TRBD1, TRBJ1-2)",Homo sapiens,"RA14 TCR beta chain (TRBV6-5, TRBD1, TRBJ1-2)"
3CDG,C,J,Q13241,KLRD1,Natural killer cells antigen CD94,Homo sapiens,KLRD1
2BNR,D,D,GO_FALLBACK,Missing entry,T-CELL RECEPTOR ALPHA CHAIN V REGION,Homo sapiens,T-CELL RECEPTOR ALPHA CHAIN V REGION
3H9S,D,D,GO_FALLBACK,Missing entry,A6 TCR alpha chain,Homo sapiens,A6 TCR alpha chain
2VLK,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
3H9S,E,E,GO_FALLBACK,Missing entry,TRBV6-5 protein,Homo sapiens,TRBV6-5 protein
3HAE,E,L,GO_FALLBACK,Missing entry,Antibody light chain,Homo sapiens,Antibody light chain
1AO7,D,D,GO_FALLBACK,Missing entry,T CELL RECEPTOR ALPHA,Homo sapiens,T CELL RECEPTOR ALPHA
2WY3,B,B,P16757,UL16,Protein UL16,Human cytomegalovirus (strain AD169),UL16
2ESV,D,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
3HAE,D,H,GO_FALLBACK,Missing entry,Antibody heavy chain,Homo sapiens,Antibody heavy chain
3D3V,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
3CDG,D,K,P26715,KLRC1,NKG2-A/NKG2-B type II integral membrane protein,Homo sapiens,KLRC1
3HUJ,C,G,GO_FALLBACK,Missing entry,NKT15 T cell receptor alpha-chain,Homo sapiens,NKT15 T cell receptor alpha-chain
3HUJ,D,H,GO_FALLBACK,Missing entry,NKT15 T cell receptor beta-chain,Homo sapiens,NKT15 T cell receptor beta-chain
3DXA,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3CII,D,G,Q13241,KLRD1,Natural killer cells antigen CD94,Homo sapiens,KLRD1
3DXA,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
3FFC,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
3CII,E,H,P26715,KLRC1,NKG2-A/NKG2-B type II integral membrane protein,Homo sapiens,KLRC1
3D39,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3MV7,D,D,GO_FALLBACK,Missing entry,alpha chain of the TK3 TCR,Homo sapiens,alpha chain of the TK3 TCR
3MV7,E,E,GO_FALLBACK,Missing entry,beta chain of the TK3 TCR,Homo sapiens,beta chain of the TK3 TCR
3D39,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
3FFC,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3MV8,D,D,GO_FALLBACK,Missing entry,alpha chain of the TK3 TCR,Homo sapiens,alpha chain of the TK3 TCR
3MV9,D,D,GO_FALLBACK,Missing entry,alpha chain of the TK3 TCR,Homo sapiens,alpha chain of the TK3 TCR
3MV8,E,E,GO_FALLBACK,Missing entry,beta chain of the TK3 TCR,Homo sapiens,beta chain of the TK3 TCR
3MV9,E,E,GO_FALLBACK,Missing entry,beta chain of the TK3 TCR,Homo sapiens,beta chain of the TK3 TCR
3GSN,B,A,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3HG1,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3HG1,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
3PWP,E,E,GO_FALLBACK,Missing entry,A6 TCR beta chain,Homo sapiens,A6 TCR beta chain
3QDG,E,E,GO_FALLBACK,Missing entry,DMF5 beta chain,Homo sapiens,DMF5 beta chain
3IT8,B,A,P01375,TNF,Tumor necrosis factor,Homo sapiens,TNF
3QDJ,E,E,GO_FALLBACK,Missing entry,DMF5 beta chain,Homo sapiens,DMF5 beta chain
3IT8,C,B,P01375,TNF,Tumor necrosis factor,Homo sapiens,TNF
3KPR,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3KPR,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
3KPS,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3QDM,E,E,GO_FALLBACK,Missing entry,DMF4 beta chain,Homo sapiens,DMF4 beta chain
3KXF,C,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3KPS,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
3QEQ,E,E,GO_FALLBACK,Missing entry,DMF4 beta chain,Homo sapiens,DMF4 beta chain
3QFJ,D,D,GO_FALLBACK,Missing entry,A6 alpha chain,Homo sapiens,A6 alpha chain
3QFJ,E,E,GO_FALLBACK,Missing entry,A6 beta chain,Homo sapiens,A6 beta chain
3KXF,D,E,A0A5B9,TRBC2,T cell receptor beta constant 2,Homo sapiens,TRBC2
3SDX,D,F,GO_FALLBACK,Missing entry,NKT TCR autoreactive-Vbeta11 chain,Homo sapiens,NKT TCR autoreactive-Vbeta11 chain
3SJV,E,E,GO_FALLBACK,Missing entry,"RL42 T cell receptor, beta chain",Homo sapiens,"RL42 T cell receptor, beta chain"
3O4L,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3TZV,D,G,GO_FALLBACK,Missing entry,Invariant Natural Killer T Cell Receptor chain A,Homo sapiens,Invariant Natural Killer T Cell Receptor chain A
3TZV,E,H,GO_FALLBACK,Missing entry,Invariant Natural Killer T Cell Receptor chain B,Homo sapiens,Invariant Natural Killer T Cell Receptor chain B
3UTS,D,D,GO_FALLBACK,Missing entry,1E6 TCR Alpha Chain,Homo sapiens,1E6 TCR Alpha Chain
4EN3,B,A,GO_FALLBACK,Missing entry,HUMAN NKT TCR ALPHA CHAIN,Homo sapiens,HUMAN NKT TCR ALPHA CHAIN
3PWP,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3O4L,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
4EN3,C,B,GO_FALLBACK,Missing entry,HUMAN NKT TCR BETA CHAIN,Homo sapiens,HUMAN NKT TCR BETA CHAIN
3UTS,E,E,GO_FALLBACK,Missing entry,1E6 TCR Beta Chain,Homo sapiens,1E6 TCR Beta Chain
3UTT,D,D,GO_FALLBACK,Missing entry,1E6 TCR Alpha Chain,Homo sapiens,1E6 TCR Alpha Chain
3QDG,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3QDJ,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3UTT,E,E,GO_FALLBACK,Missing entry,1E6 TCR Beta Chain,Homo sapiens,1E6 TCR Beta Chain
3VWJ,C,C,GO_FALLBACK,Missing entry,NKT15 T cell receptor alpha-chain,Homo sapiens,NKT15 T cell receptor alpha-chain
3VWJ,D,D,GO_FALLBACK,Missing entry,NKT15 T cell receptor beta-chain,Homo sapiens,NKT15 T cell receptor beta-chain
3QDM,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3VWK,D,D,GO_FALLBACK,Missing entry,NKT15 T cell receptor beta-chain,Homo sapiens,NKT15 T cell receptor beta-chain
3VWK,C,C,GO_FALLBACK,Missing entry,NKT15 T cell receptor alpha-chain,Homo sapiens,NKT15 T cell receptor alpha-chain
3QEQ,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3VXM,D,D,GO_FALLBACK,Missing entry,C1-28 TCR alpha chain,Homo sapiens,C1-28 TCR alpha chain
3VXM,E,E,GO_FALLBACK,Missing entry,C1-28 TCR beta chain,Homo sapiens,C1-28 TCR beta chain
3VXR,D,D,GO_FALLBACK,Missing entry,H27-14 TCR alpha chain,Homo sapiens,H27-14 TCR alpha chain
3VXR,E,E,GO_FALLBACK,Missing entry,H27-14 TCR beta chain,Homo sapiens,H27-14 TCR beta chain
3VXS,D,D,GO_FALLBACK,Missing entry,H27-14 TCR alpha chain,Homo sapiens,H27-14 TCR alpha chain
3VXS,E,E,GO_FALLBACK,Missing entry,H27-14 TCR beta chain,Homo sapiens,H27-14 TCR beta chain
3SDX,C,E,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3VXU,D,D,GO_FALLBACK,Missing entry,T36-5 TCR alpha chain,Homo sapiens,T36-5 TCR alpha chain
3SJV,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3VXU,E,E,GO_FALLBACK,Missing entry,T36-5 TCR beta chain,Homo sapiens,T36-5 TCR beta chain
3W0W,D,D,GO_FALLBACK,Missing entry,T36-5 TCR alpha chain,Homo sapiens,T36-5 TCR alpha chain
3W0W,E,E,GO_FALLBACK,Missing entry,T36-5 TCR beta chain,Homo sapiens,T36-5 TCR beta chain
4EUP,E,H,GO_FALLBACK,Missing entry,JKF6 beta chain,Homo sapiens,JKF6 beta chain
4EUP,D,G,GO_FALLBACK,Missing entry,JKF6 alpha chain,Homo sapiens,JKF6 alpha chain
4FTV,D,D,GO_FALLBACK,Missing entry,A6 alpha chain,Homo sapiens,A6 alpha chain
4FTV,E,E,GO_FALLBACK,Missing entry,A6 beta chain,Homo sapiens,A6 beta chain
4G8G,D,D,GO_FALLBACK,Missing entry,alpha chain C12C TCR,Homo sapiens,alpha chain C12C TCR
4G8G,E,E,GO_FALLBACK,Missing entry,beta chain C12C TCR,Homo sapiens,beta chain C12C TCR
4G9F,D,D,GO_FALLBACK,Missing entry,alpha chain C12C TCR,Homo sapiens,alpha chain C12C TCR
4G9F,E,E,GO_FALLBACK,Missing entry,beta chain C12C TCR,Homo sapiens,beta chain C12C TCR
4MJI,D,D,GO_FALLBACK,Missing entry,T-Cell Receptor Chain alpha,Homo sapiens,T-Cell Receptor Chain alpha
3VH8,D,G,P43629,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1,Homo sapiens,KIR3DL1
4L3E,D,D,GO_FALLBACK,Missing entry,DMF5 alpha chain,Homo sapiens,DMF5 alpha chain
4L3E,E,E,GO_FALLBACK,Missing entry,DMF5 beta chain,Homo sapiens,DMF5 beta chain
4L4T,C,G,GO_FALLBACK,Missing entry,MAIT T-cell receptor alpha chain,Homo sapiens,MAIT T-cell receptor alpha chain
3WUW,D,G,P43629,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1,Homo sapiens,KIR3DL1
4E5X,D,G,P68979,Missing entry,Early E3 18.5 kDa glycoprotein,Human adenovirus C serotype 6,Early E3 18.5 kDa glycoprotein
4JFD,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
4JFD,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
4JFE,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
4JFE,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
4JFF,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
4JFF,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
4JRY,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
4JRX,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
4PJ5,C,G,GO_FALLBACK,Missing entry,TCR-alpha,Homo sapiens,TCR-alpha
4JRY,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
4PJ5,D,H,GO_FALLBACK,Missing entry,TCR-beta,Homo sapiens,TCR-beta
4PJ7,C,G,GO_FALLBACK,Missing entry,TCR-alpha,Homo sapiens,TCR-alpha
4PJ7,D,H,GO_FALLBACK,Missing entry,TCR-beta,Homo sapiens,TCR-beta
4PJ9,C,C,GO_FALLBACK,Missing entry,TCR-alpha,Homo sapiens,TCR-alpha
4PJ9,D,D,GO_FALLBACK,Missing entry,TCR-beta,Homo sapiens,TCR-beta
4PJA,C,E,GO_FALLBACK,Missing entry,TCR-alpha,Homo sapiens,TCR-alpha
4PJA,D,F,GO_FALLBACK,Missing entry,TCR-beta,Homo sapiens,TCR-beta
4L4T,D,H,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
4NQE,C,G,Q6P4G7,TRA@,Missing entry,Homo sapiens,TRA@
4PJB,C,E,GO_FALLBACK,Missing entry,TCR-alpha,Homo sapiens,TCR-alpha
4PJB,D,F,GO_FALLBACK,Missing entry,TCR-beta,Homo sapiens,TCR-beta
4LCW,C,G,Q6P4G7,TRA@,Missing entry,Homo sapiens,TRA@
4MJI,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
4PJC,C,E,GO_FALLBACK,Missing entry,TCR-alpha,Homo sapiens,TCR-alpha
4PJC,D,F,GO_FALLBACK,Missing entry,TCR-beta,Homo sapiens,TCR-beta
4PJD,C,E,GO_FALLBACK,Missing entry,TCR-alpha,Homo sapiens,TCR-alpha
4L4V,C,G,Q6P4G7,TRA@,Missing entry,Homo sapiens,TRA@
4LHU,F,G,P0CF51,TRGC1,T cell receptor gamma constant 1,Homo sapiens,TRGC1
4PJD,D,F,GO_FALLBACK,Missing entry,TCR-beta,Homo sapiens,TCR-beta
4PJE,C,E,GO_FALLBACK,Missing entry,TCR-alpha,Homo sapiens,TCR-alpha
4L4V,D,H,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
4PJE,D,F,GO_FALLBACK,Missing entry,TCR-beta,Homo sapiens,TCR-beta
4PJF,C,G,GO_FALLBACK,Missing entry,TCR-alpha,Homo sapiens,TCR-alpha
4N0U,C,D,P02768,ALB,Albumin,Homo sapiens,ALB
4PDC,C,B,P26718,KLRK1,NKG2-D type II integral membrane protein,Homo sapiens,KLRK1
4N8V,D,G,P43631,KIR2DS2,Killer cell immunoglobulin-like receptor 2DS2,Homo sapiens,KIR2DS2
4PJF,D,H,GO_FALLBACK,Missing entry,TCR-beta,Homo sapiens,TCR-beta
4LCW,D,H,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
4PJG,C,G,GO_FALLBACK,Missing entry,TCR-alpha,Homo sapiens,TCR-alpha
4LHU,D,D,Q6PJ56,TRA@,Missing entry,Homo sapiens,TRA@
4PJH,C,E,GO_FALLBACK,Missing entry,TCR-alpha,Homo sapiens,TCR-alpha
4PJG,D,H,GO_FALLBACK,Missing entry,TCR-beta,Homo sapiens,TCR-beta
4MNG,C,E,Q6PJ56,TRA@,Missing entry,Homo sapiens,TRA@
4NQE,D,H,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
4PJH,D,F,GO_FALLBACK,Missing entry,TCR-beta,Homo sapiens,TCR-beta
4PJI,C,G,GO_FALLBACK,Missing entry,TCR-alpha,Homo sapiens,TCR-alpha
4PJX,C,E,GO_FALLBACK,Missing entry,TCR-alpha,Homo sapiens,TCR-alpha
4PJI,D,H,GO_FALLBACK,Missing entry,TCR-beta,Homo sapiens,TCR-beta
4PJX,D,F,GO_FALLBACK,Missing entry,TCR-beta,Homo sapiens,TCR-beta
4N0F,C,D,P02768,ALB,Albumin,Homo sapiens,ALB
4N0U,D,E,P01857,IGHG1,Immunoglobulin heavy constant gamma 1,Homo sapiens,IGHG1
4PDC,B,A,P26718,KLRK1,NKG2-D type II integral membrane protein,Homo sapiens,KLRK1
4QOK,D,D,GO_FALLBACK,Missing entry,Mel5 TCR chain alpha,Homo sapiens,Mel5 TCR chain alpha
4QOK,E,E,GO_FALLBACK,Missing entry,Mel5 TCR chain beta,Homo sapiens,Mel5 TCR chain beta
4QRP,D,D,GO_FALLBACK,Missing entry,DD31 TCR alpha chain,Homo sapiens,DD31 TCR alpha chain
4QRP,E,E,GO_FALLBACK,Missing entry,DD31 TCR beta chain,Homo sapiens,DD31 TCR beta chain
4QRR,C,D,GO_FALLBACK,Missing entry,clone12 TCR beta chain,Homo sapiens,clone12 TCR beta chain
4QRR,D,E,GO_FALLBACK,Missing entry,clone12 TCR alpha chain,Homo sapiens,clone12 TCR alpha chain
4V3D,B,C,GO_FALLBACK,Missing entry,HB3VAR03 CIDRA DOMAIN,Plasmodium falciparum HB3,HB3VAR03 CIDRA DOMAIN
4V3E,B,A,GO_FALLBACK,Missing entry,IT4VAR07 CIDRA,Plasmodium falciparum,IT4VAR07 CIDRA
4WO4,C,C,GO_FALLBACK,Missing entry,TCR variable DELTA 1 CHAIN and TCR constant Alpha,Homo sapiens,TCR variable DELTA 1 CHAIN and TCR constant Alpha
4WO4,D,D,GO_FALLBACK,Missing entry,TCR variable BETA 2 (TRVB20) chain and TCR constant BETA,Homo sapiens,TCR variable BETA 2 (TRVB20) chain and TCR constant BETA
4JRX,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
4WUU,D,D,GO_FALLBACK,Missing entry,ESK1,Homo sapiens,ESK1
4WUU,E,E,GO_FALLBACK,Missing entry,IMMUNOGLOBULIN HEAVY CHAIN,Homo sapiens,IMMUNOGLOBULIN HEAVY CHAIN
4K71,B,A,P02768,ALB,Albumin,Homo sapiens,ALB
4PRH,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
4PRH,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
4PRI,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
4PRI,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
4PRP,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
4PRP,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
4S0U,B,A,P26718,KLRK1,NKG2-D type II integral membrane protein,Homo sapiens,KLRK1
4S0U,C,B,P26718,KLRK1,NKG2-D type II integral membrane protein,Homo sapiens,KLRK1
4WW2,C,B,A0A5B9,TRBC2,T cell receptor beta constant 2,Homo sapiens,TRBC2
4X6C,D,H,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
4X6C,C,G,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
4X6D,D,H,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
5D2L,C,I,GO_FALLBACK,Missing entry,C7 TCR alpha chain,Homo sapiens,C7 TCR alpha chain
5E6I,B,G,GO_FALLBACK,Missing entry,"TCR alpha chain,Human nkt tcr alpha chain",Homo sapiens,"TCR alpha chain,Human nkt tcr alpha chain"
5B38,D,G,P43629,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1,Homo sapiens,KIR3DL1
5D2L,D,J,GO_FALLBACK,Missing entry,C7 TCR beta chain,Homo sapiens,C7 TCR beta chain
5D2N,B,C,GO_FALLBACK,Missing entry,C25 alpha,Homo sapiens,C25 alpha
4X6D,C,G,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
5D2N,C,F,GO_FALLBACK,Missing entry,C25 beta,Homo sapiens,C25 beta
5D7I,C,G,GO_FALLBACK,Missing entry,M33.64 TCR Alpha Chain,Homo sapiens,M33.64 TCR Alpha Chain
5B39,D,G,P43629,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1,Homo sapiens,KIR3DL1
5D7I,D,H,GO_FALLBACK,Missing entry,M33.64 TCR Beta Chain,Homo sapiens,M33.64 TCR Beta Chain
5D7J,B,A,GO_FALLBACK,Missing entry,M33.64 TCR Alpha Chain,Homo sapiens,M33.64 TCR Alpha Chain
5D7J,C,B,GO_FALLBACK,Missing entry,M33.64 TCR Beta Chain,Homo sapiens,M33.64 TCR Beta Chain
5E6I,C,H,GO_FALLBACK,Missing entry,T-cell receptor beta-2 chain C region,Homo sapiens,T-cell receptor beta-2 chain C region
5EUO,C,E,GO_FALLBACK,Missing entry,PF6 TCR alpha chain,Homo sapiens,PF6 TCR alpha chain
4WW2,B,A,GO_FALLBACK,Missing entry,TCR Alpha Chain-TRAV21-TRAJ8,Homo sapiens,TCR Alpha Chain-TRAV21-TRAJ8
5EUO,D,F,GO_FALLBACK,Missing entry,PF6 TCR beta chain,Homo sapiens,PF6 TCR beta chain
5BRZ,E,E,GO_FALLBACK,Missing entry,"Protein TRBV5-1,Human nkt tcr beta chain",Homo sapiens,"Protein TRBV5-1,Human nkt tcr beta chain"
5C07,D,D,GO_FALLBACK,Missing entry,1E6 TCR Alpha Chain,Homo sapiens,1E6 TCR Alpha Chain
5C0C,D,I,GO_FALLBACK,Missing entry,1E6 TCR Alpha Chain,Homo sapiens,1E6 TCR Alpha Chain
5C08,D,D,GO_FALLBACK,Missing entry,1E6 TCR Alpha Chain,Homo sapiens,1E6 TCR Alpha Chain
5E9D,E,E,A0A0K0K1A5,TRBV6-5,T cell receptor beta variable 6-5,Homo sapiens,TRBV6-5
