pdb,uniprot_id,database,reason
AF-Q8WLU2-F1-model_v6,Q8WLU2,afdb,excluded_species
AF-A0A2H4FZ85-F1-model_v6,A0A2H4FZ85,afdb,excluded_species
AF-Q9MYA7-F1-model_v6,Q9MYA7,afdb,excluded_species
AF-V5JAB1-F1-model_v6,V5JAB1,afdb,excluded_species
AF-I2FK81-F1-model_v6,I2FK81,afdb,excluded_species
AF-A0A0D6K9C0-F1-model_v6,A0A0D6K9C0,afdb,excluded_species
AF-A0A6V6XYA5-F1-model_v6,A0A6V6XYA5,afdb,excluded_species
AF-A0A6B7FV64-F1-model_v6,A0A6B7FV64,afdb,excluded_species
AF-A0A678ZVY0-F1-model_v6,A0A678ZVY0,afdb,excluded_species
AF-Q9TP47-F1-model_v6,Q9TP47,afdb,explicit_uniprot_removal
AF-Q4ZHW0-F1-model_v6,Q4ZHW0,afdb,explicit_uniprot_removal
AF-Q9GJ54-F1-model_v6,Q9GJ54,afdb,explicit_uniprot_removal
AF-A0A2P1E963-F1-model_v6,A0A2P1E963,afdb,explicit_uniprot_removal
AF-A0A140HLF2-F1-model_v6,A0A140HLF2,afdb,explicit_uniprot_removal
