pdb,reason
4EN3,mhc_non_aminoacid_contact
7KP1,mhc_non_aminoacid_contact
7OKS,mhc_non_aminoacid_contact
8SGB,mhc_non_aminoacid_contact
6NUX,mhc_non_aminoacid_contact
1GZP,mhc_non_aminoacid_contact
8GLH,mhc_non_aminoacid_contact
7KP0,mhc_non_aminoacid_contact
5C9J,mhc_non_aminoacid_contact
4X6D,mhc_non_aminoacid_contact
4V3E,mhc_non_aminoacid_contact
5WL1,mhc_non_aminoacid_contact
3OV6,mhc_non_aminoacid_contact
7OKU,mhc_non_aminoacid_contact
8GLI,mhc_non_aminoacid_contact
3T8X,mhc_non_aminoacid_contact
6D64,mhc_non_aminoacid_contact
7SH4,mhc_non_aminoacid_contact
4V3D,mhc_non_aminoacid_contact
6C09,mhc_non_aminoacid_contact
8GLG,mhc_non_aminoacid_contact
2PO6,binder_non_aminoacid_contact
4X6E,mhc_non_aminoacid_contact
7OKV,mhc_non_aminoacid_contact
4ONO,mhc_non_aminoacid_contact
6CUG,mhc_non_aminoacid_contact;binder_non_aminoacid_contact
1GZQ,mhc_non_aminoacid_contact
7Q5D,mhc_non_aminoacid_contact
2H26,mhc_non_aminoacid_contact
4WWK,mhc_non_aminoacid_contact
5L2K,mhc_non_aminoacid_contact;binder_non_aminoacid_contact
7OKT,mhc_non_aminoacid_contact
3VWJ,mhc_non_aminoacid_contact
5J1A,mhc_non_aminoacid_contact
5WKE,mhc_non_aminoacid_contact
5WKG,mhc_non_aminoacid_contact
1ZT4,mhc_non_aminoacid_contact
6V80,mhc_non_aminoacid_contact
4MQ7,mhc_non_aminoacid_contact
5WKI,mhc_non_aminoacid_contact;binder_non_aminoacid_contact
8ZOX,mhc_non_aminoacid_contact;binder_non_aminoacid_contact
7KOZ,mhc_non_aminoacid_contact
8C44,mhc_non_aminoacid_contact
1UQS,mhc_non_aminoacid_contact
4X6F,mhc_non_aminoacid_contact
4X6C,mhc_non_aminoacid_contact
6C15,mhc_non_aminoacid_contact
