pdb,chain,tstart,tend,status
AF-D5FZK3-F1-model_v6,NoChainInfo,2,179,primary
AF-M4MEZ9-F1-model_v6,NoChainInfo,2,179,primary
AF-I6M554-F1-model_v6,NoChainInfo,2,179,primary
AF-E2D5R2-F1-model_v6,NoChainInfo,2,179,primary
AF-D4HPC5-F1-model_v6,NoChainInfo,2,179,primary
AF-R4N4G6-F1-model_v6,NoChainInfo,2,179,primary
AF-Q95363-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A1L2BM86-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A141AZB0-F1-model_v6,NoChainInfo,2,179,primary
AF-D2DKQ3-F1-model_v6,NoChainInfo,2,179,primary
AF-F8R8J4-F1-model_v6,NoChainInfo,2,179,primary
AF-F4YU34-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A0A7C8S6-F1-model_v6,NoChainInfo,2,179,primary
AF-G9HW40-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A2H4FZ31-F1-model_v6,NoChainInfo,2,179,primary
AF-E0YTJ6-F1-model_v6,NoChainInfo,2,179,primary
AF-E2GJM7-F1-model_v6,NoChainInfo,2,179,primary
AF-F6KRT4-F1-model_v6,NoChainInfo,2,179,primary
AF-C8C9V2-F1-model_v6,NoChainInfo,2,179,primary
AF-G1BEN3-F1-model_v6,NoChainInfo,2,179,primary
AF-D3U3V7-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A0A7C7L8-F1-model_v6,NoChainInfo,2,179,primary
AF-R9QZ18-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A0N7A4B5-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A0A7C5D4-F1-model_v6,NoChainInfo,2,179,primary
AF-Q56FB0-F1-model_v6,NoChainInfo,25,204,primary
AF-I6NS77-F1-model_v6,NoChainInfo,2,179,primary
AF-D1G0T5-F1-model_v6,NoChainInfo,2,179,primary
AF-Q8WLT1-F1-model_v6,NoChainInfo,2,179,primary
AF-L7PG40-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A1X9I422-F1-model_v6,NoChainInfo,2,179,primary
AF-D5FWB7-F1-model_v6,NoChainInfo,2,179,primary
AF-F8R8J1-F1-model_v6,NoChainInfo,2,179,primary
AF-G1EPP2-F1-model_v6,NoChainInfo,2,179,primary
AF-K9L8C4-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A0A7C4C6-F1-model_v6,NoChainInfo,2,179,primary
AF-D5FWD1-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A180H6E7-F1-model_v6,NoChainInfo,2,179,primary
AF-D1G0U1-F1-model_v6,NoChainInfo,2,179,primary
AF-D3U467-F1-model_v6,NoChainInfo,2,179,primary
AF-E9LY47-F1-model_v6,NoChainInfo,2,179,primary
AF-D4HP91-F1-model_v6,NoChainInfo,2,179,primary
AF-C9WCU8-F1-model_v6,NoChainInfo,2,179,primary
AF-A8YQI6-F1-model_v6,NoChainInfo,2,179,primary
AF-D5FWD6-F1-model_v6,NoChainInfo,2,179,primary
AF-D5FZL5-F1-model_v6,NoChainInfo,2,179,primary
AF-D2DKL0-F1-model_v6,NoChainInfo,2,179,primary
AF-C0KLS1-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A2H4G2A6-F1-model_v6,NoChainInfo,2,179,primary
AF-Q9TPS5-F1-model_v6,NoChainInfo,25,204,primary
AF-F6KRR5-F1-model_v6,NoChainInfo,2,179,primary
AF-F2X5V1-F1-model_v6,NoChainInfo,2,179,primary
AF-C9WCU6-F1-model_v6,NoChainInfo,2,179,primary
AF-C4PJL1-F1-model_v6,NoChainInfo,2,179,primary
AF-E0X5Z8-F1-model_v6,NoChainInfo,2,179,primary
AF-K7P5G2-F1-model_v6,NoChainInfo,2,179,primary
AF-G9I2K6-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A8F4JDT8-F1-model_v6,NoChainInfo,2,179,primary
AF-Q9GJ54-F1-model_v6,NoChainInfo,25,204,primary
AF-H9BQ98-F1-model_v6,NoChainInfo,2,179,primary
AF-E2DH94-F1-model_v6,NoChainInfo,2,179,primary
AF-Q9GIM9-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A1X9I409-F1-model_v6,NoChainInfo,2,179,primary
AF-D2DKL9-F1-model_v6,NoChainInfo,2,179,primary
AF-J7I296-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A0X7YYM4-F1-model_v6,NoChainInfo,2,179,primary
AF-L0BVL7-F1-model_v6,NoChainInfo,2,179,primary
AF-C9WCS0-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A0G2R1P1-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A0A7C9J4-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A1X9I430-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A2H4FZ29-F1-model_v6,NoChainInfo,2,179,primary
AF-G1EPQ9-F1-model_v6,NoChainInfo,2,179,primary
AF-G1EMP3-F1-model_v6,NoChainInfo,2,179,primary
AF-D1G0S9-F1-model_v6,NoChainInfo,2,179,primary
AF-Q3LA49-F1-model_v6,NoChainInfo,2,179,primary
AF-M1FUT1-F1-model_v6,NoChainInfo,2,179,primary
AF-D5FZK9-F1-model_v6,NoChainInfo,2,179,primary
AF-G1EPT6-F1-model_v6,NoChainInfo,2,179,primary
AF-E3SGA1-F1-model_v6,NoChainInfo,2,179,primary
AF-F8SKW7-F1-model_v6,NoChainInfo,2,179,primary
AF-G9HW83-F1-model_v6,NoChainInfo,2,179,primary
AF-M1FXU4-F1-model_v6,NoChainInfo,2,179,primary
AF-E0YTJ5-F1-model_v6,NoChainInfo,2,179,primary
AF-F8R1A6-F1-model_v6,NoChainInfo,2,179,primary
AF-C8CH89-F1-model_v6,NoChainInfo,2,179,primary
AF-F8R161-F1-model_v6,NoChainInfo,2,179,primary
AF-F8RHG5-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A5B9GAB9-F1-model_v6,NoChainInfo,2,179,primary
AF-I6NN10-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A0N7A4B8-F1-model_v6,NoChainInfo,2,179,primary
AF-F4YU61-F1-model_v6,NoChainInfo,2,179,primary
AF-F8R157-F1-model_v6,NoChainInfo,2,179,primary
AF-B0LUY5-F1-model_v6,NoChainInfo,2,179,primary
AF-F4YU57-F1-model_v6,NoChainInfo,2,179,primary
AF-M1F364-F1-model_v6,NoChainInfo,2,179,primary
AF-F4YU62-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A0A7C475-F1-model_v6,NoChainInfo,2,179,primary
AF-S4T6R8-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A583ZBH3-F1-model_v6,NoChainInfo,2,179,primary
AF-I6MHI1-F1-model_v6,NoChainInfo,2,179,primary
AF-D3U3Y5-F1-model_v6,NoChainInfo,2,179,primary
AF-D5FHV7-F1-model_v6,NoChainInfo,2,179,primary
AF-C9WEP4-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A2H4FZT1-F1-model_v6,NoChainInfo,2,179,primary
AF-Q95HM0-F1-model_v6,NoChainInfo,16,195,primary
AF-C9WD04-F1-model_v6,NoChainInfo,2,179,primary
AF-G1ENI0-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A180H704-F1-model_v6,NoChainInfo,2,179,primary
AF-D5L9C1-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A186VN06-F1-model_v6,NoChainInfo,2,179,primary
AF-G1EPS4-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A0A7C9G6-F1-model_v6,NoChainInfo,2,179,primary
AF-G0ZDT8-F1-model_v6,NoChainInfo,2,179,primary
AF-F8RHG7-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A060VCZ5-F1-model_v6,NoChainInfo,25,203,primary
AF-T1WEP2-F1-model_v6,NoChainInfo,2,179,primary
AF-B2ZCW0-F1-model_v6,NoChainInfo,2,179,primary
AF-G1ENH5-F1-model_v6,NoChainInfo,2,179,primary
AF-F2X5W4-F1-model_v6,NoChainInfo,2,179,primary
AF-B0BK84-F1-model_v6,NoChainInfo,2,179,primary
AF-D5FHX8-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A168GUU9-F1-model_v6,NoChainInfo,2,179,primary
AF-F8R148-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A896SZ22-F1-model_v6,NoChainInfo,2,179,primary
AF-Q7JFI6-F1-model_v6,NoChainInfo,2,179,primary
AF-E9LY46-F1-model_v6,NoChainInfo,2,179,primary
AF-C8CH92-F1-model_v6,NoChainInfo,2,179,primary
AF-B2YG93-F1-model_v6,NoChainInfo,2,179,primary
AF-O19645-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A0A7C4F9-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A1C8DT11-F1-model_v6,NoChainInfo,2,179,primary
AF-C7FDR5-F1-model_v6,NoChainInfo,2,179,primary
AF-J7F7B3-F1-model_v6,NoChainInfo,2,179,primary
AF-G1EMN0-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A2P1E963-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A186VN56-F1-model_v6,NoChainInfo,2,179,primary
AF-D4HPJ2-F1-model_v6,NoChainInfo,2,179,primary
AF-W0NXX4-F1-model_v6,NoChainInfo,2,179,primary
AF-F4YZU8-F1-model_v6,NoChainInfo,2,179,primary
AF-A0MVW9-F1-model_v6,NoChainInfo,2,179,primary
AF-R4N2M3-F1-model_v6,NoChainInfo,2,179,primary
AF-K4JES8-F1-model_v6,NoChainInfo,2,179,primary
AF-Q8WLU2-F1-model_v6,NoChainInfo,2,179,primary
AF-G1EPL7-F1-model_v6,NoChainInfo,2,179,primary
AF-J7JWL8-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A2H4FZ85-F1-model_v6,NoChainInfo,2,179,primary
AF-Q9MYA7-F1-model_v6,NoChainInfo,2,179,primary
AF-C7FDS4-F1-model_v6,NoChainInfo,2,179,primary
AF-V5JAB1-F1-model_v6,NoChainInfo,2,179,primary
AF-C7E589-F1-model_v6,NoChainInfo,2,179,primary
AF-I2FK81-F1-model_v6,NoChainInfo,25,204,primary
AF-A1IVL5-F1-model_v6,NoChainInfo,25,204,primary
AF-A0A286MCG5-F1-model_v6,NoChainInfo,25,204,primary
AF-A0A1W5LVZ2-F1-model_v6,NoChainInfo,25,204,primary
AF-A0A6B7FVS2-F1-model_v6,NoChainInfo,25,204,primary
AF-A0A678ZHD7-F1-model_v6,NoChainInfo,25,204,primary
AF-A0A7L4X757-F1-model_v6,NoChainInfo,25,204,primary
AF-A0A167RQK8-F1-model_v6,NoChainInfo,25,204,primary
AF-A0A0D6K9C0-F1-model_v6,NoChainInfo,25,203,primary
AF-A0A6V6XYA5-F1-model_v6,NoChainInfo,25,204,primary
AF-A0A3S6RFT4-F1-model_v6,NoChainInfo,25,204,primary
AF-A0A6B7FV64-F1-model_v6,NoChainInfo,25,204,primary
AF-A0A6B7IH53-F1-model_v6,NoChainInfo,25,204,primary
AF-A0A678ZVY0-F1-model_v6,NoChainInfo,25,204,primary
AF-A0A3Q8TKD6-F1-model_v6,NoChainInfo,25,204,primary
AF-Q45FY5-F1-model_v6,NoChainInfo,25,204,primary
AF-A0A140HLF2-F1-model_v6,NoChainInfo,25,204,primary
AF-A0A238TPE3-F1-model_v6,NoChainInfo,25,204,primary
