id,UMAP1,UMAP2,umap_input,umap_neighbors,umap_min_dist,umap_spread,umap_repulsion_strength,random_state,source,pdb_id,gene_name,mapped_class,mapped_superclass,mhc_bound_state
5txs,0.9879591,12.766317,precomputed,8,0.8,1.0,1.0,42,pdb,5TXS,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
4f7p,11.746308,6.082688,precomputed,8,0.8,1.0,1.0,42,pdb,4F7P,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7nme,12.329337,6.2928576,precomputed,8,0.8,1.0,1.0,42,pdb,7NME,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
5hgb,8.307652,6.715896,precomputed,8,0.8,1.0,1.0,42,pdb,5HGB,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
5vwf,4.7337985,13.758468,precomputed,8,0.8,1.0,1.0,42,pdb,5VWF,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
6p23,-1.1591492,9.739241,precomputed,8,0.8,1.0,1.0,42,pdb,6P23,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
7u1r,6.9567833,-0.06458032,precomputed,8,0.8,1.0,1.0,42,pdb,7U1R,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7n6e,6.2460723,2.8052392,precomputed,8,0.8,1.0,1.0,42,pdb,7N6E,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
3vxs,11.7302065,5.34913,precomputed,8,0.8,1.0,1.0,42,pdb,3VXS,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
5hhq,7.3189507,-0.8698336,precomputed,8,0.8,1.0,1.0,42,pdb,5HHQ,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7bbg,4.9283357,4.583425,precomputed,8,0.8,1.0,1.0,42,pdb,7BBG,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
7rtd,7.2608066,-1.07575,precomputed,8,0.8,1.0,1.0,42,pdb,7RTD,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
2f54,5.20434,4.421912,precomputed,8,0.8,1.0,1.0,42,pdb,2F54,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
5xot,1.707252,14.803762,precomputed,8,0.8,1.0,1.0,42,pdb,5XOT,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-BL
2esv,13.268186,23.157667,precomputed,8,0.8,1.0,1.0,42,pdb,2ESV,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-BL
3rl2,1.7475469,3.9256191,precomputed,8,0.8,1.0,1.0,42,pdb,3RL2,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1t21,10.025455,-0.3155231,precomputed,8,0.8,1.0,1.0,42,pdb,1T21,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
6mtm,3.0992131,11.392093,precomputed,8,0.8,1.0,1.0,42,pdb,6MTM,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-BL
4no0,5.831881,4.121205,precomputed,8,0.8,1.0,1.0,42,pdb,4NO0,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1qsf,3.4655101,1.0718529,precomputed,8,0.8,1.0,1.0,42,pdb,1QSF,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
3gsw,9.56057,0.31864923,precomputed,8,0.8,1.0,1.0,42,pdb,3GSW,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1a9e,1.4958038,14.444039,precomputed,8,0.8,1.0,1.0,42,pdb,1A9E,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
7nmd,10.89166,5.741067,precomputed,8,0.8,1.0,1.0,42,pdb,7NMD,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1hhh,5.7780704,-0.8961865,precomputed,8,0.8,1.0,1.0,42,pdb,1HHH,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1akj,4.2964544,5.2494817,precomputed,8,0.8,1.0,1.0,42,pdb,1AKJ,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7p4b,15.739047,21.845032,precomputed,8,0.8,1.0,1.0,42,pdb,7P4B,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-L
7jyx,11.393003,5.359985,precomputed,8,0.8,1.0,1.0,42,pdb,7JYX,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1t1x,9.821714,-0.40276325,precomputed,8,0.8,1.0,1.0,42,pdb,1T1X,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
8qfy,15.056314,22.521585,precomputed,8,0.8,1.0,1.0,42,pdb,8QFY,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-BL
1q94,10.067453,3.4967797,precomputed,8,0.8,1.0,1.0,42,pdb,1Q94,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7ndq,14.082311,21.671305,precomputed,8,0.8,1.0,1.0,42,pdb,7NDQ,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-BL
5wjl,11.267446,3.3393009,precomputed,8,0.8,1.0,1.0,42,pdb,5WJL,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
8en8,0.37714705,14.925392,precomputed,8,0.8,1.0,1.0,42,pdb,8EN8,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-BL
4qok,3.1112008,3.7951038,precomputed,8,0.8,1.0,1.0,42,pdb,4QOK,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
6uz1,3.4425426,3.8941147,precomputed,8,0.8,1.0,1.0,42,pdb,6UZ1,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7tr4,6.285647,3.8372245,precomputed,8,0.8,1.0,1.0,42,pdb,7TR4,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
7mja,11.9704075,6.060539,precomputed,8,0.8,1.0,1.0,42,pdb,7MJA,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
3d3v,3.6864092,1.4575921,precomputed,8,0.8,1.0,1.0,42,pdb,3D3V,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
7f4w,11.432109,6.1457624,precomputed,8,0.8,1.0,1.0,42,pdb,7F4W,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
5w6a,3.2649937,12.280626,precomputed,8,0.8,1.0,1.0,42,pdb,5W6A,HLA-C,HLA Class Ia,Classical MHC-I,MHC-bound-L
3fqt,7.6528945,0.46887925,precomputed,8,0.8,1.0,1.0,42,pdb,3FQT,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1xr9,-0.47129834,12.6359625,precomputed,8,0.8,1.0,1.0,42,pdb,1XR9,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
1i4f,9.115601,-1.087249,precomputed,8,0.8,1.0,1.0,42,pdb,1I4F,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
6w51,4.2036557,2.837309,precomputed,8,0.8,1.0,1.0,42,pdb,6W51,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
4f7m,9.981465,6.2902894,precomputed,8,0.8,1.0,1.0,42,pdb,4F7M,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
3pwp,4.154201,2.7000086,precomputed,8,0.8,1.0,1.0,42,pdb,3PWP,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
6mt3,2.2403114,13.485366,precomputed,8,0.8,1.0,1.0,42,pdb,6MT3,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
8ryo,9.331737,4.1334195,precomputed,8,0.8,1.0,1.0,42,pdb,8RYO,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
7s8s,8.625558,1.027957,precomputed,8,0.8,1.0,1.0,42,pdb,7S8S,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
6j2a,8.538679,1.2924111,precomputed,8,0.8,1.0,1.0,42,pdb,6J2A,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
8rbv,6.8580647,-0.1621948,precomputed,8,0.8,1.0,1.0,42,pdb,8RBV,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7wj2,2.788963,10.997886,precomputed,8,0.8,1.0,1.0,42,pdb,7WJ2,HLA-C,HLA Class Ia,Classical MHC-I,MHC-bound-L
3wlb,10.028282,6.338835,precomputed,8,0.8,1.0,1.0,42,pdb,3WLB,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7s7e,0.94114715,7.985386,precomputed,8,0.8,1.0,1.0,42,pdb,7S7E,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
3i6l,10.020611,6.4274535,precomputed,8,0.8,1.0,1.0,42,pdb,3I6L,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
6uj7,1.2731693,8.335027,precomputed,8,0.8,1.0,1.0,42,pdb,6UJ7,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
2xpg,2.8606312,4.4663687,precomputed,8,0.8,1.0,1.0,42,pdb,2XPG,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1t1w,9.79828,-0.029035762,precomputed,8,0.8,1.0,1.0,42,pdb,1T1W,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
6j1v,10.008121,5.0202374,precomputed,8,0.8,1.0,1.0,42,pdb,6J1V,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7jyu,9.63898,6.589678,precomputed,8,0.8,1.0,1.0,42,pdb,7JYU,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7kgo,6.704114,0.9988277,precomputed,8,0.8,1.0,1.0,42,pdb,7KGO,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
3kxf,1.0935344,13.705997,precomputed,8,0.8,1.0,1.0,42,pdb,3KXF,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-BL
7rtr,7.2504663,3.1635969,precomputed,8,0.8,1.0,1.0,42,pdb,7RTR,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
5wsh,7.7349625,-0.11454598,precomputed,8,0.8,1.0,1.0,42,pdb,5WSH,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
5wwj,10.851614,5.6370625,precomputed,8,0.8,1.0,1.0,42,pdb,5WWJ,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
3v5k,7.976326,4.184972,precomputed,8,0.8,1.0,1.0,42,pdb,3V5K,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
6ghn,15.068038,21.902834,precomputed,8,0.8,1.0,1.0,42,pdb,6GHN,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-L
8xkc,7.5881877,4.436786,precomputed,8,0.8,1.0,1.0,42,pdb,8XKC,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7rk7,5.4953337,5.0113993,precomputed,8,0.8,1.0,1.0,42,pdb,7RK7,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
5hhn,7.580444,-1.1094226,precomputed,8,0.8,1.0,1.0,42,pdb,5HHN,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
6vm8,6.536624,-0.47879425,precomputed,8,0.8,1.0,1.0,42,pdb,6VM8,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
6zky,14.959161,23.015783,precomputed,8,0.8,1.0,1.0,42,pdb,6ZKY,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-BL
3h9s,4.540834,3.8846884,precomputed,8,0.8,1.0,1.0,42,pdb,3H9S,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
6zkz,14.634523,23.04453,precomputed,8,0.8,1.0,1.0,42,pdb,6ZKZ,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-BL
4qrr,-0.5048241,14.55887,precomputed,8,0.8,1.0,1.0,42,pdb,4QRR,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-BL
4o2f,1.8820705,13.405135,precomputed,8,0.8,1.0,1.0,42,pdb,4O2F,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
6zkx,14.236291,23.248007,precomputed,8,0.8,1.0,1.0,42,pdb,6ZKX,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-BL
3vxp,8.967573,6.5089607,precomputed,8,0.8,1.0,1.0,42,pdb,3VXP,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1ydp,3.6631298,10.102607,precomputed,8,0.8,1.0,1.0,42,pdb,1YDP,HLA-G,HLA Class Ib,Non-classical MHC-I,MHC-bound-L
2nx5,-0.6033494,14.760383,precomputed,8,0.8,1.0,1.0,42,pdb,2NX5,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-BL
5vz5,1.401606,12.896596,precomputed,8,0.8,1.0,1.0,42,pdb,5VZ5,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
3v5d,7.825601,4.199562,precomputed,8,0.8,1.0,1.0,42,pdb,3V5D,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1s8d,9.872302,-0.15121165,precomputed,8,0.8,1.0,1.0,42,pdb,1S8D,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
4jfp,3.9605796,2.2332017,precomputed,8,0.8,1.0,1.0,42,pdb,4JFP,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1duy,7.6736107,5.5449095,precomputed,8,0.8,1.0,1.0,42,pdb,1DUY,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
3utt,6.948372,5.8224463,precomputed,8,0.8,1.0,1.0,42,pdb,3UTT,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
7pbe,2.5710754,1.8352884,precomputed,8,0.8,1.0,1.0,42,pdb,7PBE,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
3wl9,9.685804,6.4028287,precomputed,8,0.8,1.0,1.0,42,pdb,3WL9,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7ejm,10.179509,7.0519147,precomputed,8,0.8,1.0,1.0,42,pdb,7EJM,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1a9b,1.4492059,14.431375,precomputed,8,0.8,1.0,1.0,42,pdb,1A9B,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
5iue,5.3081064,6.860864,precomputed,8,0.8,1.0,1.0,42,pdb,5IUE,HLA-F,HLA Class Ib,Non-classical MHC-I,MHC-bound-L
2clr,7.4611015,5.0791373,precomputed,8,0.8,1.0,1.0,42,pdb,2CLR,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
6uli,2.1088858,10.836293,precomputed,8,0.8,1.0,1.0,42,pdb,6ULI,HLA-C,HLA Class Ia,Classical MHC-I,MHC-bound-L
3qfj,3.8798118,1.7810878,precomputed,8,0.8,1.0,1.0,42,pdb,3QFJ,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
7lg2,6.0401106,5.5438066,precomputed,8,0.8,1.0,1.0,42,pdb,7LG2,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
3ox8,7.398017,-0.34995633,precomputed,8,0.8,1.0,1.0,42,pdb,3OX8,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1cg9,1.632824,14.634178,precomputed,8,0.8,1.0,1.0,42,pdb,1CG9,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
3mgt,5.4891286,6.311438,precomputed,8,0.8,1.0,1.0,42,pdb,3MGT,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
6ggm,15.671364,22.07,precomputed,8,0.8,1.0,1.0,42,pdb,6GGM,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-L
3fqw,7.1905046,1.0299171,precomputed,8,0.8,1.0,1.0,42,pdb,3FQW,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
3c9n,0.08963099,12.331407,precomputed,8,0.8,1.0,1.0,42,pdb,3C9N,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
5enw,7.7627764,-0.88443613,precomputed,8,0.8,1.0,1.0,42,pdb,5ENW,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7s8q,10.923829,3.79135,precomputed,8,0.8,1.0,1.0,42,pdb,7S8Q,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7kgs,6.8014393,-0.50754434,precomputed,8,0.8,1.0,1.0,42,pdb,7KGS,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1s9y,8.387625,4.631421,precomputed,8,0.8,1.0,1.0,42,pdb,1S9Y,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
5f9j,6.2431035,-2.0931995,precomputed,8,0.8,1.0,1.0,42,pdb,5F9J,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
3ft2,7.337439,-1.0959951,precomputed,8,0.8,1.0,1.0,42,pdb,3FT2,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1hhg,6.975594,5.594627,precomputed,8,0.8,1.0,1.0,42,pdb,1HHG,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1t20,10.269543,-0.13455999,precomputed,8,0.8,1.0,1.0,42,pdb,1T20,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
5hga,7.762685,6.84338,precomputed,8,0.8,1.0,1.0,42,pdb,5HGA,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
2bvp,5.2893605,14.072164,precomputed,8,0.8,1.0,1.0,42,pdb,2BVP,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
4jff,3.654323,4.0269265,precomputed,8,0.8,1.0,1.0,42,pdb,4JFF,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
4wu5,7.9987435,6.702871,precomputed,8,0.8,1.0,1.0,42,pdb,4WU5,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
5nmk,7.435262,-0.06544402,precomputed,8,0.8,1.0,1.0,42,pdb,5NMK,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
6jp3,10.801715,3.0423758,precomputed,8,0.8,1.0,1.0,42,pdb,6JP3,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
6aee,3.3373997,10.155992,precomputed,8,0.8,1.0,1.0,42,pdb,6AEE,HLA-G,HLA Class Ib,Non-classical MHC-I,MHC-bound-L
5d9s,5.569124,-1.0999866,precomputed,8,0.8,1.0,1.0,42,pdb,5D9S,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7n2r,7.575894,19.133722,precomputed,8,0.8,1.0,1.0,42,pdb,7N2R,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-BL
4nqv,9.60945,2.8080974,precomputed,8,0.8,1.0,1.0,42,pdb,4NQV,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
8rlt,15.64609,22.410723,precomputed,8,0.8,1.0,1.0,42,pdb,8RLT,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-BL
8enh,1.0550022,14.841871,precomputed,8,0.8,1.0,1.0,42,pdb,8ENH,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-BL
7n1b,4.966538,4.5873036,precomputed,8,0.8,1.0,1.0,42,pdb,7N1B,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
8rh6,6.560255,1.0656558,precomputed,8,0.8,1.0,1.0,42,pdb,8RH6,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
5im7,5.0443873,11.80982,precomputed,8,0.8,1.0,1.0,42,pdb,5IM7,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
1mhe,13.314286,22.869452,precomputed,8,0.8,1.0,1.0,42,pdb,1MHE,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-L
7sa2,6.5436296,0.6326872,precomputed,8,0.8,1.0,1.0,42,pdb,7SA2,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
6gh4,15.244145,21.411415,precomputed,8,0.8,1.0,1.0,42,pdb,6GH4,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-L
7s8f,0.99955595,7.19115,precomputed,8,0.8,1.0,1.0,42,pdb,7S8F,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
8rym,9.219334,4.3701224,precomputed,8,0.8,1.0,1.0,42,pdb,8RYM,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
7n1e,6.023664,4.9164233,precomputed,8,0.8,1.0,1.0,42,pdb,7N1E,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
7lg3,7.0794187,5.0777335,precomputed,8,0.8,1.0,1.0,42,pdb,7LG3,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
6d2b,4.5689077,14.371643,precomputed,8,0.8,1.0,1.0,42,pdb,6D2B,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
6mpp,10.663897,2.8713682,precomputed,8,0.8,1.0,1.0,42,pdb,6MPP,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7s79,0.6334426,7.0020742,precomputed,8,0.8,1.0,1.0,42,pdb,7S79,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
8rng,2.5466824,13.998777,precomputed,8,0.8,1.0,1.0,42,pdb,8RNG,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
